"seq_id","inicio","fin","strand","score"
"TcCLB.506533.70",659,682,"-",52
"TcCLB.506533.70",2243,2270,"+",83
"TcCLB.506533.34",521,548,"+",83
"TcCLB.506533.34",2558,2577,"-",52
"TcCLB.506533.34",2954,2977,"+",60
"TcCLB.510077.20",3363,3389,"+",51
"TcCLB.510077.20",3582,3631,"+",74
"TcCLB.411427.10",1828,1861,"+",102
"TcCLB.411427.10",3147,3163,"+",54
"TcCLB.411427.10",3283,3309,"-",75
"TcCLB.411427.40",335,355,"+",49
"TcCLB.411427.40",1169,1206,"-",58
"TcCLB.421321.9",1888,1922,"+",50
"TcCLB.410961.10",241,277,"+",59
"TcCLB.410961.10",1125,1146,"-",53
"TcCLB.410961.10",1889,1907,"+",85
"TcCLB.410961.10",2580,2607,"+",82
"TcCLB.503653.9",71,95,"+",94
"TcCLB.503653.9",324,362,"-",150
"TcCLB.510077.30",91,115,"+",71
"TcCLB.506533.142",1355,1384,"-",53
"TcCLB.503653.50",209,228,"-",67
"TcCLB.503653.50",798,813,"+",55
"TcCLB.503653.50",1416,1436,"+",64
"TcCLB.503653.50",1544,1588,"-",74
"TcCLB.503653.50",2560,2585,"+",74
"TcCLB.503653.50",4114,4159,"+",87
"TcCLB.503653.50",4188,4211,"-",48
"TcCLB.503653.50",4436,4465,"+",52
"TcCLB.503653.50",5150,5186,"+",47
"TcCLB.503653.50",5440,5458,"-",51
"TcCLB.503653.70",787,822,"+",71
"TcCLB.503653.60",347,368,"+",90
"TcCLB.503653.60",1318,1337,"-",67
"TcCLB.503653.60",1907,1922,"+",55
"TcCLB.507999.10",8628,8660,"+",48
"TcCLB.507999.10",9035,9078,"+",50
"TcCLB.507999.10",11982,11996,"+",55
"TcCLB.463297.10",635,656,"-",53
"TcCLB.463297.10",1399,1417,"+",85
"TcCLB.463297.10",2090,2117,"+",82
"TcCLB.463297.10",2180,2204,"+",51
"TcCLB.463297.10",2320,2354,"+",62
"TcCLB.411427.30",546,579,"+",102
"TcCLB.411427.30",1865,1881,"+",54
"TcCLB.411427.30",2001,2027,"-",75
"TcCLB.411427.30",2093,2112,"+",66
"TcCLB.411427.30",3616,3636,"+",49
"TcCLB.510077.40",1007,1031,"+",71
"TcCLB.448387.9",1424,1452,"+",53
"TcCLB.506533.106",657,686,"-",53
"TcCLB.506533.106",1991,2014,"-",52
"TcCLB.503653.20",247,279,"+",80
"TcCLB.503653.20",568,606,"-",47
"TcCLB.503653.20",1675,1699,"+",94
"TcCLB.503653.20",1928,1966,"-",150
"TcCLB.503653.30",741,786,"+",87
"TcCLB.503653.30",815,838,"-",48
"TcCLB.503653.30",1063,1092,"+",52
"TcCLB.503653.30",1777,1813,"+",47
"TcCLB.503653.30",2067,2085,"-",51
"TcCLB.503653.30",3325,3357,"+",80
"TcCLB.503653.90",981,1011,"+",67
"TcCLB.508205.30",571,609,"+",76
"TcCLB.508205.30",684,717,"-",103
"TcCLB.508205.30",975,993,"-",95
"TcCLB.508203.38",215,259,"-",49
"TcCLB.508203.38",861,905,"-",49
"TcCLB.510351.110",2156,2184,"-",85
"TcCLB.510351.110",2272,2295,"-",68
"TcCLB.508205.4",2389,2418,"-",113
"TcCLB.506717.80",198,219,"+",51
"TcCLB.506717.80",2952,2981,"+",57
"TcCLB.449247.10",1105,1150,"+",61
"TcCLB.507941.170",938,982,"-",49
"TcCLB.507941.20",107,144,"-",73
"TcCLB.507941.20",703,736,"+",48
"TcCLB.507941.20",1272,1303,"-",50
"TcCLB.507941.20",1932,1951,"-",66
"TcCLB.507941.130",1150,1189,"-",55
"TcCLB.507941.130",1338,1365,"-",51
"TcCLB.507941.60",67,96,"-",58
"TcCLB.507941.60",1572,1606,"-",75
"TcCLB.510353.30",860,885,"-",47
"TcCLB.510353.20",466,507,"-",77
"TcCLB.510353.20",576,606,"+",62
"TcCLB.510353.20",4217,4242,"-",47
"TcCLB.506717.140",4853,4880,"+",83
"TcCLB.506717.140",5154,5182,"+",54
"TcCLB.506717.140",11250,11277,"-",70
"TcCLB.506717.140",11284,11304,"+",94
"TcCLB.506717.140",13084,13128,"+",79
"TcCLB.506717.140",13143,13161,"-",52
"TcCLB.506717.140",13162,13186,"+",48
"TcCLB.506717.140",13993,14042,"+",47
"TcCLB.506717.140",14566,14614,"+",56
"TcCLB.506717.140",17895,17933,"+",58
"TcCLB.506717.140",18295,18325,"+",51
"TcCLB.506717.140",19067,19108,"+",48
"TcCLB.506717.140",19811,19831,"+",52
"TcCLB.507941.50",1347,1376,"-",58
"TcCLB.507941.100",1985,2006,"-",49
"TcCLB.510351.90",334,364,"-",67
"TcCLB.510351.90",1355,1390,"+",59
"TcCLB.510351.90",2165,2189,"-",69
"TcCLB.507941.150",2455,2499,"-",49
