"seqid","type","start","end","strand","ID","description"
"TcChr39-P","IGI",1274016,1275952,"+","TcCLB.508461.390","hypothetical protein, conserved"
"TcChr39-P","IGI",430711,432809,"-","TcCLB.506629.30","guide RNA-binding protein of 21 kDa"
"TcChr12-P","IGI",89161,97824,"-","TcCLB.509663.50","trans-sialidase, Group VIII, putative"
"TcChr40-P","IGI",356741,358354,"-","TcCLB.507031.60","nuclear cap binding complex subunit CBP30, putative"
"TcChr31-P","IGI",821667,825888,"+","TcCLB.508141.80","hypothetical protein, conserved"
"TcChr38-P","IGI",671357,681954,"-","TcCLB.507069.94","Mucin-associated surface protein (MASP), subgroup S038"
"TcChr14-P","IGI",225504,230507,"+","TcCLB.511851.20","retrotransposon hot spot protein (RHS, pseudogene), putative"
"TcChr37-P","IGI",740779,742448,"-","TcCLB.503583.40","trans-splicing factor, putative"
"TcChr35-P","IGI",1099998,1102408,"-","TcCLB.509161.120","hypothetical protein, conserved"
"TcChr37-P","IGI",38365,42976,"-","TcCLB.503421.20","hypothetical protein, conserved (pseudogene)"
"TcChr28-P","IGI",281617,285922,"+","TcCLB.506787.19","Mucin-associated surface protein (MASP) (pseudogene)"
"TcChr32-P","IGI",786041,787196,"-","TcCLB.509065.33","hypothetical protein, conserved"
"TcChr35-P","IGI",581724,584597,"+","TcCLB.506821.140","histone deacetylase, putative"
"TcChr40-P","IGI",626261,628418,"+","TcCLB.511283.20","protein transport protein SEC13"
"TcChr11-P","IGI",404101,406583,"+","TcCLB.509935.20","'Cold-shock' DNA-binding domain containing protein, putative"
"TcChr22-P","IGI",118720,120695,"+","TcCLB.508649.10","Beta propeller protein 1"
"TcChr31-P","IGI",474700,488856,"+","TcCLB.510087.110","MYND finger, putative"
"TcChr39-P","IGI",56173,60930,"-","TcCLB.503917.40","hypothetical protein, conserved"
"TcChr32-P","IGI",403394,408102,"+","TcCLB.509059.70","hypothetical protein, conserved"
"TcChr17-P","IGI",498640,500360,"+","TcCLB.508911.20","hypothetical protein, conserved"
"TcChr41-P","IGI",2251670,2252874,"-","TcCLB.510359.140","hypothetical protein, conserved"
"TcChr41-P","IGI",1846499,1848667,"+","TcCLB.508221.660","Mucin-associated surface protein (MASP), subgroup S001"
"TcChr17-P","IGI",547412,552783,"+","TcCLB.511321.50","hypothetical protein, conserved"
"TcChr16-P","IGI",449328,450530,"+","TcCLB.508269.73","ATP-dependent DEAD/H RNA helicase (pseudogene), putative"
