"seqid","type","start","end","strand","ID","description"
"Tbg972_11","IGI",1182107,1184923,"+","Tbg972.11.4670","hypothetical protein, conserved"
"Tbg972_10","IGI",3005244,3009004,"-","Tbg972.10.15510","pre-RNA processing PIH1/Nop17, putative"
"Tbg972_11","IGI",1041109,1047658,"+","Tbg972.11.4150","nucleobase/nucleoside transporter, putative"
"Tbg972_03","IGI",535016,538489,"+","Tbg972.3.2430","AGC essential kinase 1"
"Tbg972_11","IGI",2112895,2115179,"-","Tbg972.11.8680","Protein of unknown function (DUF423), putative"
"Tbg972_10","IGI",2140584,2144680,"+","Tbg972.10.10950","kinetoplast DNA-associated protein, putative"
"Tbg972_07","IGI",324525,331316,"+","Tbg972.7.1400","hypothetical protein, conserved"
"Tbg972_08","IGI",345016,346842,"+","Tbg972.8.1050","Protein of unknown function (DUF1674), putative"
"Tbg972_07","IGI",872577,874964,"+","Tbg972.7.3500","Beta-lactamase superfamily domain containing protein, putative"
"Tbg972_08","IGI",2195246,2203678,"+","Tbg972.8.8670","cysteine peptidase, putative"
"Tbg972_03","IGI",697233,700279,"-","Tbg972.3.3160","Right handed beta helix region, putative"
"Tbg972_04","IGI",340656,341815,"-","Tbg972.4.1550","T. brucei spp.-specific protein"
"Tbg972_11","IGI",1012262,1014222,"+","Tbg972.11.4030","hypothetical protein, conserved"
"Tbg972_11","IGI",4085471,4088319,"-","Tbg972.11.17430","C-14 sterol reductase, putative"
"Tbg972_07","IGI",888841,891150,"+","Tbg972.7.3570","hypothetical protein, conserved"
"Tbg972_11","IGI",3139924,3144681,"+","Tbg972.11.13270","hypothetical protein, conserved"
"Tbg972_07","IGI",1639364,1642656,"+","Tbg972.7.6820","hypothetical protein, conserved"
"Tbg972_10","IGI",3150643,3155478,"-","Tbg972.10.16170","hypothetical protein, conserved"
"Tbg972_10","IGI",2765078,2770641,"+","Tbg972.10.14220","hypothetical protein, conserved"
"Tbg972_11","IGI",3094139,3097960,"+","Tbg972.11.13060","minichromosome maintenance (MCM) complex subunit, putative"
"Tbg972_11","IGI",2920978,2927647,"+","Tbg972.11.12350","hypothetical protein, conserved"
"Tbg972_11","IGI",1953387,1957166,"-","Tbg972.11.7900","hypothetical protein, conserved"
"Tbg972_11","IGI",2766032,2771185,"+","Tbg972.11.11750","PQQ-like domain/WD domain, G-beta repeat/Utp21 specific WD40 associated putative domain containing protein, putative"
"Tbg972_11","IGI",1492297,1496481,"+","Tbg972.11.5950","ubiquitin carboxyl-terminal hydrolase, putative"
"Tbg972_07","IGI",1952198,1990050,"+","Tbg972.7.8020","expression site-associated gene (ESAG) protein, putative"
"Tbg972_11","IGI",4229601,4234362,"-","Tbg972.11.18080","hypothetical protein, conserved"
"Tbg972_09","IGI",1710124,1715421,"+","Tbg972.9.8000","hypothetical protein, conserved"
"Tbg972_01","IGI",434667,438404,"+","Tbg972.1.1800","PPR repeat family, putative"
"Tbg972_10","IGI",1567073,1575700,"-","Tbg972.10.7830","DNA mismatch repair protein MSH6, putative"
"Tbg972_02","IGI",252642,255218,"+","Tbg.972.2.1280","hypothetical protein, conserved"
"Tbg972_07","IGI",1266182,1270017,"-","Tbg972.7.5100","PX domain containing protein, putative"
"Tbg972_05","IGI",536943,538776,"+","Tbg972.5.2580","ecotin, putative"
"Tbg972_08","IGI",1276562,1278675,"+","Tbg972.8.4830","transport protein particle (TRAPP) component, Bet3, putative"
"Tbg972_06","IGI",1100096,1102164,"+","Tbg972.6.4640","zinc-binding protein (Yippee), putative"
"Tbg972_10","IGI",2396067,2401618,"+","Tbg972.10.12300","hypothetical protein, conserved"
"Tbg972_08","IGI",1862085,1866021,"+","Tbg972.8.7520","Maf1 regulator, putative"
"Tbg972_05","IGI",741660,749396,"+","Tbg972.5.3530","hypothetical protein, conserved (pseudogene)"
"Tbg972_05","IGI",1310508,1313289,"+","Tbg972.5.6230","variant surface glycoprotein (VSG)-related, putative"
"Tbg972_07","IGI",342625,344382,"+","Tbg972.7.1490","hypothetical protein, conserved"
"Tbg972_08","IGI",752358,756630,"+","Tbg972.8.2920","hypothetical protein, conserved"
"Tbg972_08","IGI",700421,703910,"+","Tbg972.8.2610","hypothetical protein, conserved"
"Tbg972_11","IGI",2746450,2750430,"+","Tbg972.11.11640","hypothetical protein, conserved"
"Tbg972_10","IGI",1773582,1781068,"-","Tbg972.10.8940","Flagellar Member 2"
"Tbg972_07","IGI",1316557,1321094,"-","Tbg972.7.5350","WD domain, G-beta repeat, putative"
"Tbg972_07","IGI",680377,685048,"-","Tbg972.7.2660","Tripartite attachment complex protein 102"
"Tbg972_08","IGI",563620,566578,"+","Tbg972.8.2050","spliceosomal U5 snRNP-specific protein, putative"
"Tbg972_11","IGI",2699437,2701084,"+","Tbg972.11.11420","hypothetical protein, conserved"
"Tbg972_09","IGI",1116605,1119029,"-","Tbg972.9.5070","tRNA (guanine-N(7)-)-methyltransferase, putative"
"Tbg972_07","IGI",469953,479046,"-","Tbg972.7.2020","retrotransposon hot spot protein 7 (RHS7), putative"
"Tbg972_06","IGI",963181,966896,"-","Tbg972.6.3930","hypothetical protein, conserved"
"Tbg972_04","IGI",273015,274991,"-","Tbg972.4.1190","aldose 1-epimerase, putative"
"Tbg972_05","IGI",1012499,1015767,"-","Tbg972.5.4740","T. brucei spp.-specific protein"
"Tbg972_09","IGI",1748374,1752358,"-","Tbg972.9.8240","hypothetical protein, conserved"
"Tbg972_09","IGI",1544514,1546835,"+","Tbg972.9.7280","hypothetical protein, conserved"
"Tbg972_10","IGI",1993290,1996592,"-","Tbg972.10.10140","hypothetical protein, conserved"
"Tbg972_10","IGI",1465020,1469253,"-","Tbg972.10.7380","proteasome subunit alpha type-1, putative"
"Tbg972_11","IGI",3791646,3794571,"+","Tbg972.11.16160","hypothetical protein, conserved"
"Tbg972_09","IGI",1568816,1571546,"+","Tbg972.9.7380","hypothetical protein, conserved"
"Tbg972_08","IGI",473114,475691,"-","Tbg972.8.1580","endosomal integral membrane protein, putative"
"Tbg972_11","IGI",513068,517092,"-","Tbg972.11.1960","translation initiation factor eIF2B delta subunit, putative"
"Tbg972_04","IGI",1090284,1093159,"-","Tbg972.4.4390","hypothetical protein, conserved"
"Tbg972_10","IGI",3410921,3415493,"-","Tbg972.10.17580","leucine-rich repeat protein (LRRP), putative"
"Tbg972_03","IGI",688846,690465,"-","Tbg972.3.3070","hypothetical protein, conserved"
"Tbg972_06","IGI",1177347,0,"+","Tbg972.6.4970","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tbg972_10","IGI",2719379,2721351,"+","Tbg972.10.13980","SKP1-like protein"
"Tbg972_10","IGI",39557,43368,"+","Tbg972.10.290","hypothetical protein, conserved"
"Tbg972_11","IGI",26908,29130,"-","Tbg972.11.120","ubiquitin carboxyl-terminal hydrolase, putative"
"Tbg972_06","IGI",789371,804821,"-","Tbg972.6.3230","RNA-binding protein, putative"
"Tbg972_11","IGI",3870411,3872762,"-","Tbg972.11.16510","hypothetical protein, conserved"
"Tbg972_11","IGI",3519110,3521974,"-","Tbg972.11.14820","guide RNA binding protein, putative"
"Tbg972_08","IGI",1696700,1698861,"-","Tbg972.8.6780","hypothetical protein, conserved"
"Tbg972_09","IGI",602616,604698,"+","Tbg972.9.2690","HMG-box domain containing protein, putative"
"Tbg972_01","IGI",77795,87956,"-","Tbg972.1.300","hypothetical protein, conserved"
"Tbg972_10","IGI",3477870,3479726,"-","Tbg972.10.17910","fibrillarin, putative"
"Tbg972_11","IGI",4426221,4428782,"-","Tbg972.11.18890","hypothetical protein, conserved"
"Tbg972_09","IGI",1694686,1697610,"+","Tbg972.9.7920","protein kinase, putative"
"Tbg972_11","IGI",3134377,3137559,"+","Tbg972.11.13250","R3H domain containing protein, putative"
"Tbg972_02","IGI",710322,713085,"+","Tbg.972.2.3680","hypothetical protein, conserved"
"Tbg972_08","IGI",895306,899668,"-","Tbg972.8.3390","kinetoplastid kinetochore protein 4, putative"
"Tbg972_05","IGI",971990,979217,"-","Tbg972.5.4560","Basal body protein"
"Tbg972_09","IGI",1591449,1599559,"+","Tbg972.9.7530","hypothetical protein, conserved"
"Tbg972_09","IGI",298571,302247,"-","Tbg972.9.1120","deoxyhypusine hydroxylase, putative"
"Tbg972_06","IGI",904377,909816,"-","Tbg972.6.3610","hypothetical protein, conserved"
"Tbg972_07","IGI",1799555,1803818,"+","Tbg972.7.7470","intergrin alpha chain protein, putative"
"Tbg972_07","IGI",1618504,1624578,"+","Tbg972.7.6700","protein kinase, putative"
"Tbg972_11","IGI",2373459,2375465,"+","Tbg972.11.9740","hypothetical protein, conserved"
"Tbg972_08","IGI",1027066,1031907,"-","Tbg972.8.3890","deaminase, putative"
"Tbg972_04","IGI",894971,896077,"-","Tbg972.4.3680","hypothetical protein, conserved"
"Tbg972_04","IGI",23671,25500,"-","Tbg972.4.30","hypothetical protein, conserved"
"Tbg972_11","IGI",1400816,1406045,"+","Tbg972.11.5600","transcription elongation factor, putative"
"Tbg972_10","IGI",2262185,2263551,"+","Tbg972.10.11600","expression site-associated gene 3 (ESAG3)-like protein, putative"
"Tbg972_09","IGI",295727,299675,"-","Tbg972.9.1110","TLC domain containing protein, putative"
"Tbg972_08","IGI",1389775,1393919,"-","Tbg972.8.5370","hypothetical protein, conserved"
"Tbg972_10","IGI",2662461,2664379,"+","Tbg972.10.13740","hypothetical protein, conserved"
"Tbg972_07","IGI",1312615,1318439,"-","Tbg972.7.5330","T. brucei spp.-specific protein"
"Tbg972_11","IGI",3579685,3583109,"-","Tbg972.11.15130","hypothetical protein, conserved"
"Tbg972_01","IGI",60323,62154,"-","Tbg972.1.270","transmembrane protein, putative"
"Tbg972_03","IGI",491194,495062,"-","Tbg972.3.2120","translation elongation factor EF-2, putative"
"Tbg972_09","IGI",370351,375829,"-","Tbg972.9.1450","hypothetical protein, conserved"
"Tbg972_11","IGI",2146284,2151481,"-","Tbg972.11.8850","oxidoreductase-like protein"
"Tbg972_11","IGI",3807402,3809757,"+","Tbg972.11.16230","RNA polymerase subunit, putative"
"Tbg972_11","IGI",1087173,1089542,"+","Tbg972.11.4350","hypothetical protein, conserved"
"Tbg972_09","IGI",839543,842700,"+","Tbg972.9.3610","RNA-binding protein, putative"
"Tbg972_05","IGI",1,837,"-","Tbg972.5.10","receptor-type adenylate cyclase GRESAG, putative, (fragment)"
"Tbg972_09","IGI",707175,709446,"+","Tbg972.9.3150","ERV/ALR sulfhydryl oxidase domain-containing protein"
"Tbg972_11","IGI",137620,138815,"-","Tbg972.11.660","ribosomal protein L21E (60S), putative"
"Tbg972_10","IGI",2962315,2963456,"-","Tbg972.10.15290","60S ribosomal protein L34, putative"
"Tbg972_10","IGI",638046,638987,"+","Tbg972.10.3320","hypothetical protein"
"Tbg972_05","IGI",474023,477675,"+","Tbg972.5.2260","hypothetical protein, conserved"
"Tbg972_04","IGI",865778,867285,"-","Tbg972.4.3520","Amastin surface glycoprotein, putative"
"Tbg972_07","IGI",638548,642543,"-","Tbg972.7.2490","hypothetical protein, conserved"
"Tbg972_10","IGI",1,1153,"+","Tbg972.10.10","hypothetical protein, conserved"
"Tbg972_09","IGI",1627302,1634488,"+","Tbg972.9.7680","ATP-dependent DEAD/H RNA helicase, putative"
"Tbg972_07","IGI",1332549,1334008,"-","Tbg972.7.5450","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
"Tbg972_11","IGI",3794117,3795715,"+","Tbg972.11.16170","proteasome regulatory non-ATP-ase subunit, putative"
"Tbg972_05","IGI",747861,754112,"+","Tbg972.5.3540","hypothetical protein, conserved"
"Tbg972_06","IGI",543047,550930,"+","Tbg972.6.2310","hypothetical protein"
"Tbg972_10","IGI",1991368,1992914,"-","Tbg972.10.10120","acetyltransferase, putative"
"Tbg972_01","IGI",572153,573738,"+","Tbg972.1.2450","T. brucei spp.-specific protein"
