"seq_id","pqsNumber"
"LdBPK_010400.1",6
"LdBPK_010630.1",7
"LdBPK_010430.1",5
"LdBPK_010040.1",13
"LdBPK_010070.1",7
"LdBPK_010560.1",7
"LdBPK_010640.1",10
"LdBPK_010270.1",5
"LdBPK_010770.1",7
"LdBPK_010830.1",5
"LdBPK_010120.1",12
"LdBPK_010280.1",11
"LdBPK_010600.1",9
"LdBPK_010590.1",5
"LdBPK_010310.1",0
"LdBPK_010020.1",8
"LdBPK_010300.1",0
"LdBPK_010690.1",23
"LdBPK_010730.1",16
"LdBPK_010240.1",8
"LdBPK_010060.1",11
"LdBPK_010720.1",25
"LdBPK_010140.1",8
"LdBPK_010080.1",13
"LdBPK_010780.1",7
"LdBPK_010580.1",7
"LdBPK_010750.1",14
"LdBPK_010570.1",9
"LdBPK_010330.1",1
"LdBPK_010530.1",18
"LdBPK_010840.1",22
"LdBPK_010450.1",11
"LdBPK_010460.1",18
"LdBPK_010010.1",9
"LdBPK_010500.1",21
"LdBPK_010220.1",24
"LdBPK_010440.1",9
"LdBPK_010810.1",34
"LdBPK_010610.1",9
"LdBPK_010100.1",13
"LdBPK_010410.1",7
"LdBPK_010360.1",6
"LdBPK_010290.1",5
"LdBPK_010390.1",7
"LdBPK_010740.1",12
"LdBPK_010710.1",19
"LdBPK_010150.1",5
"LdBPK_010250.1",14
"LdBPK_010550.1",16
"LdBPK_010670.1",9
"LdBPK_010490.1",24
"LdBPK_010380.1",9
"LdBPK_010130.1",9
"LdBPK_010520.1",16
"LdBPK_010790.1",28
"LdBPK_010680.1",12
"LdBPK_010050.1",21
"LdBPK_010620.1",11
"LdBPK_010320.1",2
"LdBPK_010200.1",4
"LdBPK_010820.1",15
"LdBPK_010850.1",58
"LdBPK_010650.1",15
"LdBPK_010210.1",17
"LdBPK_010350.1",0
"LdBPK_010510.1",21
"LdBPK_010420.1",8
"LdBPK_010230.1",10
"LdBPK_010110.1",8
"LdBPK_010480.1",31
"LdBPK_010340.1",0
"LdBPK_010540.1",19
"LdBPK_010260.1",4
"LdBPK_010030.1",3
"LdBPK_010190.1",8
"LdBPK_010760.1",9
"LdBPK_010170.1",13
"LdBPK_010160.1",7
"LdBPK_010700.1",25
"LdBPK_010660.1",11
"LdBPK_010180.1",10
"LdBPK_010370.1",10
"LdBPK_010470.1",21
"LdBPK_020420.1",19
"LdBPK_020540.1",54
"LdBPK_020130.1",38
"LdBPK_020070.1",12
"LdBPK_020310.1",13
"LdBPK_020450.1",6
"LdBPK_020700.1",8
"LdBPK_020050.1",7
"LdBPK_020620.1",3
"LdBPK_020080.1",13
"LdBPK_020610.1",4
"LdBPK_020090.1",13
"LdBPK_020200.1",15
"LdBPK_020370.1",4
"LdBPK_020670.1",9
"LdBPK_020350.1",12
"LdBPK_020340.1",12
"LdBPK_020530.1",22
"LdBPK_020640.1",5
"LdBPK_020390.1",17
"LdBPK_020630.1",4
"LdBPK_020430.1",20
"LdBPK_020280.1",20
"LdBPK_020260.1",13
"LdBPK_020580.1",10
"LdBPK_020250.1",13
"LdBPK_020460.1",4
"LdBPK_020210.1",14
"LdBPK_020320.1",14
"LdBPK_020100.1",17
"LdBPK_020650.1",5
"LdBPK_020550.1",43
"LdBPK_020510.1",9
"LdBPK_020060.1",10
"LdBPK_020440.1",20
"LdBPK_020040.1",4
"LdBPK_020270.1",24
"LdBPK_020240.1",11
"LdBPK_020660.1",2
"LdBPK_020490.1",31
"LdBPK_020030.1",4
"LdBPK_020570.1",10
"LdBPK_020410.1",12
"LdBPK_020330.1",14
"LdBPK_020380.1",16
"LdBPK_020520.1",8
"LdBPK_020230.1",8
"LdBPK_020020.1",11
"LdBPK_020220.1",9
"LdBPK_020170.1",25
"LdBPK_020600.1",6
"LdBPK_020360.1",8
"LdBPK_020300.1",9
"LdBPK_020110.1",5
"LdBPK_020180.1",18
"LdBPK_020560.1",11
"LdBPK_020480.1",6
"LdBPK_020190.1",16
"LdBPK_020590.1",11
"LdBPK_020140.1",45
"LdBPK_020400.1",16
"LdBPK_020150.1",23
"LdBPK_020680.1",12
"LdBPK_020120.1",4
"LdBPK_020470.1",3
"LdBPK_020690.1",6
"LdBPK_020290.1",7
"LdBPK_020710.1",12
"LdBPK_020500.1",27
"LdBPK_020160.1",29
"LdBPK_030650.1",49
"LdBPK_030150.1",8
"LdBPK_030780.1",11
"LdBPK_030790.1",12
"LdBPK_030510.1",14
"LdBPK_030230.1",13
"LdBPK_030640.1",9
"LdBPK_030280.1",18
"LdBPK_030500.1",9
"LdBPK_030560.1",6
"LdBPK_030840.1",9
"LdBPK_030090.1",10
"LdBPK_030620.1",21
"LdBPK_030950.1",0
"LdBPK_030900.1",8
"LdBPK_030460.1",17
"LdBPK_030830.1",17
"LdBPK_030930.1",5
"LdBPK_030080.1",10
"LdBPK_030530.1",13
"LdBPK_030340.1",40
"LdBPK_030760.1",14
"LdBPK_030250.1",8
"LdBPK_030890.1",5
"LdBPK_030910.1",9
"LdBPK_030810.1",14
"LdBPK_030520.1",11
"LdBPK_030140.1",12
"LdBPK_030400.1",17
"LdBPK_030270.1",6
"LdBPK_030600.1",10
"LdBPK_030030.1",0
"LdBPK_030070.1",4
"LdBPK_030420.1",4
"LdBPK_013370.1",9
"LdBPK_030040.1",5
"LdBPK_030710.1",13
"LdBPK_030480.1",21
"LdBPK_030490.1",25
"LdBPK_030660.1",53
"LdBPK_030470.1",21
"LdBPK_030730.1",11
"LdBPK_030720.1",9
"LdBPK_030450.1",22
"LdBPK_030680.1",17
"LdBPK_030970.1",9
"LdBPK_030700.1",14
"LdBPK_030050.1",7
"LdBPK_030020.1",1
"LdBPK_030100.1",10
"LdBPK_030590.1",10
"LdBPK_030300.1",8
"LdBPK_030920.1",6
"LdBPK_030180.1",7
"LdBPK_030750.1",9
"LdBPK_030430.1",20
"LdBPK_030860.1",10
"LdBPK_030870.1",14
"LdBPK_030010.1",3
"LdBPK_030390.1",23
"LdBPK_030940.1",0
"LdBPK_030740.1",13
"LdBPK_030160.1",3
"LdBPK_030440.1",31
"LdBPK_030290.1",24
"LdBPK_030060.1",3
"LdBPK_030170.1",1
"LdBPK_030130.1",11
"LdBPK_030350.1",25
"LdBPK_030630.1",22
"LdBPK_03tRNA1",12
"LdBPK_030210.1",7
"LdBPK_030110.1",6
"LdBPK_030880.1",11
"LdBPK_030360.1",27
"LdBPK_030690.1",6
"LdBPK_030260.1",8
"LdBPK_030330.1",25
"LdBPK_030200.1",9
"LdBPK_030120.1",8
"LdBPK_030610.1",10
"LdBPK_030220.1",14
"LdBPK_030540.1",12
"LdBPK_030800.1",16
"LdBPK_030580.1",10
"LdBPK_030370.1",23
"LdBPK_030240.1",4
"LdBPK_030190.1",11
"LdBPK_030310.1",11
"LdBPK_030570.1",8
"LdBPK_013360.1",10
"LdBPK_030320.1",10
"LdBPK_030960.1",2
"LdBPK_030670.1",12
"LdBPK_030410.1",4
"LdBPK_030550.1",9
"LdBPK_030380.1",15
"LdBPK_030850.1",7
"LdBPK_040260.1",9
"LdBPK_041060.1",7
"LdBPK_040790.1",14
"LdBPK_040660.1",14
"LdBPK_040080.1",5
"LdBPK_041090.1",4
"LdBPK_040720.1",26
"LdBPK_040870.1",28
"LdBPK_040190.1",15
"LdBPK_040610.1",9
"LdBPK_040880.1",14
"LdBPK_040700.1",7
"LdBPK_040380.1",24
"LdBPK_041080.1",7
"LdBPK_040860.1",18
"LdBPK_040310.1",19
"LdBPK_040140.1",7
"LdBPK_040170.1",27
"LdBPK_040850.1",10
"LdBPK_041020.1",10
"LdBPK_040390.1",22
"LdBPK_040470.1",10
"LdBPK_041170.1",9
"LdBPK_040560.1",12
"LdBPK_040620.1",5
"LdBPK_040840.1",17
"LdBPK_040670.1",18
"LdBPK_040500.1",16
"LdBPK_041210.1",5
"LdBPK_040370.1",71
"LdBPK_040910.1",16
"LdBPK_040210.1",30
"LdBPK_040010.1",10
"LdBPK_040430.1",23
"LdBPK_040830.1",14
"LdBPK_040120.1",10
"LdBPK_040110.1",13
"LdBPK_040290.1",9
"LdBPK_041250.1",2
"LdBPK_040040.1",5
"LdBPK_040100.1",14
"LdBPK_040740.1",12
"LdBPK_040400.1",18
"LdBPK_040550.1",7
"LdBPK_041160.1",6
"LdBPK_040690.1",12
"LdBPK_041140.1",5
"LdBPK_040150.1",7
"LdBPK_040590.1",13
"LdBPK_041230.1",7
"LdBPK_040060.1",4
"LdBPK_041110.1",11
"LdBPK_040890.1",14
"LdBPK_040930.1",14
"LdBPK_041030.1",8
"LdBPK_040530.1",15
"LdBPK_040900.1",24
"LdBPK_041240.1",2
"LdBPK_040760.1",8
"LdBPK_040780.1",11
"LdBPK_041040.1",18
"LdBPK_040230.1",19
"LdBPK_040520.1",24
"LdBPK_040920.1",8
"LdBPK_040990.1",10
"LdBPK_041120.1",12
"LdBPK_040960.1",9
"LdBPK_040710.1",14
"LdBPK_040510.1",15
"LdBPK_040480.1",7
"LdBPK_041100.1",10
"LdBPK_040450.1",13
"LdBPK_040640.1",10
"LdBPK_041050.1",19
"LdBPK_040580.1",7
"LdBPK_040980.1",9
"LdBPK_040320.1",7
"LdBPK_040650.1",10
"LdBPK_040440.1",18
"LdBPK_040820.1",9
"LdBPK_040350.1",8
"LdBPK_040630.1",6
"LdBPK_040220.1",20
"LdBPK_040030.1",3
"LdBPK_041220.1",8
"LdBPK_041150.1",3
"LdBPK_040250.1",4
"LdBPK_040130.1",8
"LdBPK_041200.1",20
"LdBPK_041000.1",7
"LdBPK_040090.1",7
"LdBPK_040420.1",27
"LdBPK_040270.1",18
"LdBPK_040600.1",8
"LdBPK_040360.1",61
"LdBPK_041190.1",40
"LdBPK_040540.1",6
"LdBPK_041180.1",32
"LdBPK_040200.1",30
"LdBPK_040070.1",5
"LdBPK_041130.1",12
"LdBPK_040730.1",19
"LdBPK_041070.1",4
"LdBPK_040410.1",25
"LdBPK_040050.1",6
"LdBPK_040340.1",23
"LdBPK_040031.1",0
"LdBPK_040750.1",7
"LdBPK_040160.1",22
"LdBPK_040770.1",8
"LdBPK_040950.1",10
"LdBPK_041010.1",14
"LdBPK_040680.1",15
