"seq_id","inicio","fin","strand","score"
"LINF_010005700",19,58,"+",66
"LINF_010005700",300,318,"+",67
"LINF_010005700",384,417,"+",91
"LINF_010005700",2122,2149,"+",72
"LINF_010005700",2404,2426,"+",107
"LINF_010005700",2450,2481,"-",109
"LINF_010005700",2502,2528,"-",56
"LINF_010005700",2743,2788,"+",63
"LINF_010005700",2800,2840,"+",110
"LINF_010005700",2972,3004,"+",75
"LINF_010011800",243,262,"+",93
"LINF_010011800",686,701,"-",55
"LINF_010011800",1312,1357,"+",49
"LINF_010011800",1484,1512,"-",71
"LINF_010011800",1639,1661,"+",51
"LINF_010011800",2128,2150,"+",79
"LINF_010011800",2363,2387,"-",58
"LINF_010011800",2399,2424,"-",61
"LINF_010011800",2448,2483,"-",74
"LINF_010011800",2562,2606,"-",89
"LINF_010011800",2773,2796,"-",106
"LINF_010011800",3250,3283,"-",80
"LINF_010011800",3312,3328,"+",53
"LINF_010011800",3378,3393,"-",72
"LINF_010011800",4061,4081,"-",73
"LINF_010011800",4247,4269,"+",79
"LINF_010011800",4305,4332,"-",52
"LINF_010011800",4679,4708,"+",96
"LINF_010011800",4764,4807,"-",69
"LINF_010011800",4932,4947,"-",53
"LINF_010011800",5555,5573,"+",49
"LINF_010011800",5645,5688,"-",50
"LINF_010011800",5996,6013,"+",52
"LINF_010010400",230,257,"-",86
"LINF_010010400",291,313,"-",51
"LINF_010010400",1063,1086,"-",115
"LINF_010010400",1333,1351,"-",51
"LINF_010010400",1488,1523,"-",47
"LINF_010010400",1659,1700,"-",83
"LINF_010010400",1703,1737,"+",57
"LINF_010010400",1939,1971,"-",68
"LINF_010010400",2623,2654,"+",116
"LINF_010010400",3079,3117,"-",114
"LINF_010010400",3352,3370,"-",67
"LINF_010010400",4219,4267,"-",56
"LINF_010010400",6442,6473,"-",48
"LINF_010010400",8583,8615,"-",88
"LINF_010010400",8992,9016,"-",50
"LINF_010010400",9061,9091,"-",50
"LINF_010007000",128,163,"+",47
"LINF_010007000",264,296,"+",110
"LINF_010007000",1417,1436,"-",47
"LINF_010007000",4093,4125,"+",106
