"seq_id","inicio","fin","strand","score"
"LmjF.01.0350",376,417,"+",81
"LmjF.01.0350",451,474,"-",92
"LmjF.01.0350",1361,1379,"-",49
"LmjF.01.0350",1430,1448,"-",85
"LmjF.01.0350",4090,4112,"-",66
"LmjF.01.0350",4443,4474,"+",95
"LmjF.01.0350",4706,4732,"-",74
"LmjF.01.0680",91,104,"+",47
"LmjF.01.0680",248,277,"+",83
"LmjF.01.0680",497,546,"-",68
"LmjF.01.0680",608,640,"-",86
"LmjF.01.0680",676,693,"+",54
"LmjF.01.0680",739,765,"-",101
"LmjF.01.0680",908,921,"-",47
"LmjF.01.0680",1028,1047,"-",66
"LmjF.01.0680",1797,1840,"-",52
"LmjF.01.0680",2040,2065,"-",51
"LmjF.01.0680",2235,2264,"+",65
"LmjF.01.0680",2307,2334,"-",49
"LmjF.01.0680",2654,2701,"+",137
"LmjF.01.0680",2760,2797,"-",70
"LmjF.01.0680",3558,3579,"-",51
"LmjF.01.0680",6783,6824,"-",110
"LmjF.01.0680",6826,6844,"-",50
"LmjF.01.0680",7072,7102,"+",65
"LmjF.01.0680",7132,7181,"+",71
"LmjF.01.0560",396,433,"-",90
"LmjF.01.0560",630,657,"-",72
"LmjF.01.0560",665,682,"+",115
"LmjF.01.0560",815,844,"-",83
"LmjF.01.0560",1121,1147,"-",101
"LmjF.01.0560",1224,1241,"-",52
"LmjF.01.0560",1545,1576,"+",48
"LmjF.01.0560",3414,3447,"-",48
"LmjF.01.0560",3540,3558,"-",67
"LmjF.01.0560",3634,3653,"-",47
"LmjF.01.0030",161,189,"+",91
"LmjF.01.0030",469,518,"-",48
"LmjF.01.0030",1186,1199,"+",75
"LmjF.01.0030",3323,3367,"-",47
"LmjF.01.0590",130,160,"-",79
"LmjF.01.0590",254,271,"+",69
"LmjF.01.0590",366,397,"-",50
"LmjF.01.0590",425,455,"-",67
"LmjF.01.0590",604,631,"-",94
"LmjF.01.0590",700,738,"-",121
"LmjF.01.0590",753,776,"-",70
