"seq_id","pqsNumber"
"Tbg972.1.1800",4
"Tbg972.1.300",11
"Tbg972.1.270",2
"Tbg972.1.2450",3
"Tbg972.1.970",0
"Tbg972.1.3050",4
"Tbg972.1.1910",4
"Tbg972.1.3120",0
"Tbg972.1.2110",7
"Tbg972.1.380",0
"Tbg972.1.1200",3
"Tbg972.1.1170",0
"Tbg972.1.1260",4
"Tbg972.1.990",0
"Tbg972.1.100",0
"Tbg972.1.1150",1
"Tbg972.1.3010",3
"Tbg972.1.840",1
"Tbg972.1.2910",1
"Tbg972.1.780",0
"Tbg972.1.2000",1
"Tbg972.1.1160",1
"Tbg972.1.2860",8
"Tbg972.1.900",2
"Tbg972.1.2400",1
"Tbg972.1.2290",11
"Tbg972.1.2940",3
"Tbg972.1.1820",0
"Tbg972.1.1870",6
"Tbg972.1.860",0
"Tbg972.1.1130",3
"Tbg972.1.1640",0
"Tbg972.1.110",6
"Tbg972.1.1450",4
"Tbg972.1.560",2
"Tbg972.1.870",1
"Tbg972.1.670",1
"Tbg972.1.1240",6
"Tbg972.1.2370",0
"Tbg972.1.3070",0
"Tbg972.1.640",3
"Tbg972.1.1120",3
"Tbg972.1.720",5
"Tbg972.1.980",0
"Tbg972.1.650",2
"Tbg972.1.920",2
"Tbg972.1.1070",1
"Tbg972.1.910",0
"Tbg972.1.2780",2
"Tbg972.1.3020",4
"Tbg972.1.1420",2
"Tbg972.1.460",0
"Tbg972.1.1250",6
"Tbg972.1.3260",1
"Tbg972.1.2610",8
"Tbg972.1.1600",4
"Tbg972.1.490",2
"Tbg972.1.250",2
"Tbg972.1.2710",2
"Tbg972.1.2250",5
"Tbg972.1.1850",0
"Tbg972.1.2360",6
"Tbg972.1.1080",3
"Tbg972.1.2850",5
"Tbg972.1.50",2
"Tbg972.1.2070",2
"Tbg972.1.240",1
"Tbg972.1.1350",0
"Tbg972.1.3230",0
"Tbg972.1.390",0
"Tbg972.1.1140",2
"Tbg972.1.2470",6
"Tbg972.1.2150",2
"Tbg972.1.10",3
"Tbg972.1.1660",5
"Tbg972.1.1930",0
"Tbg972.1.680",2
"Tbg972.1.1860",1
"Tbg972.1.1460",4
"Tbg972.1.190",2
"Tbg972.1.40",1
"Tbg972.1.1310",3
"Tbg972.1.410",1
"Tbg972.1.550",2
"Tbg972.1.1230",8
"Tbg972.1.930",2
"Tbg972.1.180",1
"Tbg972.1.3370",1
"Tbg972.1.740",5
"Tbg972.1.3280",2
"Tbg972.1.1480",4
"Tbg972.1.2030",2
"Tbg972.1.470",0
"Tbg972.1.70",1
"Tbg972.1.3250",1
"Tbg972.1.1410",1
"Tbg972_miscRNA_01",3
"Tbg972.1.400",3
"Tbg972.1.3220",0
"Tbg972.1.510",0
"Tbg972.1.3130",1
"Tbg972.1.3100",1
"Tbg972.1.1180",0
"Tbg972.1.450",1
"Tbg972.1.500",3
"Tbg972.1.800",1
"Tbg972.1.2980",4
"Tbg972.1.3180",1
"Tbg972.1.1920",3
"Tbg972.1.260",3
"Tbg972.1.1500",4
"Tbg972.1.690",2
"Tbg972.1.630",1
"Tbg972.1.30",1
"Tbg972.1.620",0
"Tbg972.1.20",2
"Tbg972.1.1050",2
"Tbg972.1.1980",5
"Tbg972.1.1270",0
"Tbg972.1.130",2
"Tbg972.1.1360",0
"Tbg972.1.2050",1
"Tbg972.1.1620",1
"Tbg972.1.940",3
"Tbg972.1.1710",4
"Tbg972.1.80",3
"Tbg972.1.2420",5
"Tbg972.1.120",7
"Tbg972.1.3160",3
"Tbg972.1.2240",6
"Tbg972.1.2830",4
"Tbg972.1.830",1
"Tbg972.1.90",3
"Tbg972.1.3340",2
"Tbg972.1.2700",3
"Tbg972.1.1110",2
"Tbg972.1.2020",2
"Tbg972.1.1280",5
"Tbg972.1.2120",4
"Tbg972.1.1540",4
"Tbg972.1.1380",0
"Tbg972.1.2660",8
"Tbg972.1.2570",3
"Tbg972.1.1400",1
"Tbg972.1.1030",1
"Tbg972.1.1690",0
"Tbg972.1.1010",1
"Tbg972.1.440",1
