"seq_id","pqsNumber"
"LmjF.01.0350",7
"LmjF.01.0680",19
"LmjF.01.0560",10
"LmjF.01.0030",4
"LmjF.01.0590",13
"LmjF.01.0690",14
"LmjF.01.0110",7
"LmjF.01.0370",5
"LmjF.01.0130",10
"LmjF.01.0480",21
"LmjF.01.0080",10
"LmjF.01.0450",20
"LmjF.01.0140",9
"LmjF.01.0650",10
"LmjF.01.0290",4
"LmjF.01.0390",13
"LmjF.01.0260",7
"LmjF.01.0210",20
"LmjF.01.0620",15
"LmjF.01.0160",12
"LmjF.01.0600",12
"LmjF.01.0100",4
"LmjF.01.0340",6
"LmjF.01.0420",8
"LmjF.01.0710",5
"LmjF.01.0335",1
"LmjF.01.0770",14
"LmjF.01.0820",31
"LmjF.01.0240",7
"LmjF.01.0120",10
"LmjF.01.0300",0
"LmjF.01.0230",5
"LmjF.01.0580",12
"LmjF.01.0720",6
"LmjF.01.0780",23
"LmjF.01.0270",10
"LmjF.01.0740",13
"LmjF.01.0090",8
"LmjF.01.0070",10
"LmjF.01.0640",11
"LmjF.01.0490",24
"LmjF.01.0310",0
"LmjF.01.0180",8
"LmjF.01.0670",23
"LmjF.01.0050",18
"LmjF.01.0460",27
"LmjF.01.0010",7
"LmjF.01.0220",16
"LmjF.01.0040",10
"LmjF.01.0530",18
"LmjF.01.0570",6
"LmjF.01.0150",6
"LmjF.01.0510",20
"LmjF.01.0610",9
"LmjF.01.0540",12
"LmjF.01.0520",15
"LmjF.01.0790",20
"LmjF.01.0280",13
"LmjF.01.0810",11
"LmjF.01.0060",14
"LmjF.01.0470",19
"LmjF.01.0700",13
"LmjF.01.0250",12
"LmjF.01.0410",6
"LmjF.01.0800",13
"LmjF.01.0430",11
"LmjF.01.0500",23
"LmjF.01.0380",6
"LmjF.01.0440",19
"LmjF.01.0360",7
"LmjF.01.0200",8
"LmjF.01.0630",14
"LmjF.01.0550",14
"LmjF.01.0660",18
"LmjF.01.0315",1
"LmjF.01.0730",10
"LmjF.01.0760",5
"LmjF.01.0750",10
"LmjF.01.0830",59
"LmjF.01.0190",5
"LmjF.01.0320",1
"LmjF.01.0020",6
"LmjF.01.0330",0
"LmjF.01.0170",15
"LmjF.01.0400",10
"LmjF.02.0210",25
"LmjF.02.SLRNA.0130",1
"LmjF.02.SLRNA.0120",1
"LmjF.02.SLRNA.0370",1
"LmjF.02.0180",18
"LmjF.02.SLRNA.0400",1
"LmjF.02.0390",10
"LmjF.02.SLRNA.0190",2
"LmjF.02.SLRNA.0140",1
"LmjF.02.0440",16
"LmjF.02.0160",32
"LmjF.02.0680",7
"LmjF.02.SLRNA.0160",1
"LmjF.02.0380",14
"LmjF.02.0500",3
"LmjF.02.0740",17
"LmjF.02.SLRNA.0220",1
"LmjF.02.0190",14
"LmjF.02.0650",2
"LmjF.02.SLRNA.0510",1
"LmjF.02.SLRNA.0230",1
"LmjF.02.SLRNA.0070",1
"LmjF.02.0720",5
"LmjF.02.0240",10
"LmjF.02.SLRNA.0310",1
"LmjF.02.0450",22
"LmjF.02.0510",7
"LmjF.02.0060",4
"LmjF.02.SLRNA.0430",1
"LmjF.02.0080",7
"LmjF.02.0270",8
"LmjF.02.SLRNA.0560",1
"LmjF.02.0590",9
"LmjF.02.0670",8
"LmjF.02.SLRNA.0580",1
"LmjF.02.0470",24
"LmjF.02.SLRNA.0480",1
"LmjF.02.0410",19
"LmjF.02.SLRNA.0320",1
