"seqid","type","start","end","strand","ID","description"
"TcChr36-S","IGI",28546,29799,"-","TcCLB.507795.90","hypothetical protein, conserved"
"TcChr37-S","IGI",428230,431459,"+","TcCLB.504137.10","isoleucyl-tRNA synthetase, putative"
"TcChr22-S","IGI",326956,329027,"-","TcCLB.504427.231","tRNA-Ile:anticodon TAT"
"TcChr5-S","IGI",99041,100931,"-","TcCLB.511369.15","elongation factor 1-alpha (EF-1-alpha, pseudogene), putative"
"TcChr34-S","IGI",697993,704419,"+","TcCLB.506633.74","hypothetical protein, conserved (pseudogene)"
"TcChr19-S","IGI",588484,603079,"+","TcCLB.508283.10","dispersed gene family protein 1 (DGF-1), putative"
"TcChr15-S","IGI",35490,37503,"-","TcCLB.511867.30","hypothetical protein, conserved"
"TcChr12-S","IGI",449880,461178,"-","TcCLB.511411.30","arginine permease"
"TcChr28-S","IGI",102433,102673,"+","TcCLB.508383.30","C/D small nucleolar RNA (snoRNA), TB10C3C3"
"TcChr9-S","IGI",500038,501496,"+","TcCLB.510955.4","lipase-like protein, putative"
"TcChr36-S","IGI",92349,97399,"-","TcCLB.510143.50","hypothetical protein, conserved"
"TcChr28-S","IGI",157501,161925,"+","TcCLB.508387.30","zinc-finger of a C2HC-type, putative"
"TcChr37-S","IGI",1207168,1267264,"+","TcCLB.503747.10","glutamine aminotransferase, putative (fragment)"
"TcChr31-S","IGI",375825,378369,"+","TcCLB.509011.100","myosin heavy chain kinase A, putative"
"TcChr39-S","IGI",1792181,1793195,"+","TcCLB.508471.10","hypothetical protein, conserved"
"TcChr29-S","IGI",59140,69731,"-","TcCLB.509699.140","Mucin-associated surface protein (MASP) (pseudogene)"
"TcChr27-S","IGI",424192,425814,"+","TcCLB.506779.120","hypothetical protein, conserved"
"TcChr25-S","IGI",381076,382886,"+","TcCLB.511401.111","elongation factor 1-gamma (EF-1-gamma, pseudogene), putative"
"TcChr6-S","IGI",231407,235664,"-","TcCLB.510073.90","hypothetical protein, conserved"
"TcChr41-S","IGI",731235,736462,"+","TcCLB.506599.189","mucin TcMUCII, putative"
"TcChr17-S","IGI",408150,411075,"+","TcCLB.506519.110","hypothetical protein, conserved"
"TcChr37-S","IGI",307473,309001,"+","TcCLB.508727.50","hypothetical protein, conserved"
"TcChr8-S","IGI",246586,249491,"-","TcCLB.510241.110","Pescadillo N-terminus/BRCA1 C Terminus (BRCT) domain containing protein, putative"
"TcChr40-S","IGI",1564653,1567396,"-","TcCLB.418405.20","mucin TcMUCII (pseudogene), putative"
"TcChr40-S","IGI",893393,897433,"+","TcCLB.506359.40","hypothetical protein, conserved"
"TcChr33-S","IGI",702598,706543,"+","TcCLB.506465.5","hypothetical protein"
"TcChr41-S","IGI",1257867,1266494,"+","TcCLB.507957.160","Mucin-associated surface protein (MASP), subgroup S017"
"TcChr23-S","IGI",178786,186738,"+","TcCLB.503601.10","trans-sialidase, Group V, putative"
"TcChr28-S","IGI",422324,423517,"+","TcCLB.506971.80","Mucin-associated surface protein (MASP) (fragment)"
"TcChr41-S","IGI",1098166,1100916,"-","TcCLB.510025.191","surface protease GP63 (pseudogene), putative"
"TcChr34-S","IGI",331445,333139,"-","TcCLB.505989.78","hypothetical protein, conserved"
"TcChr25-S","IGI",116547,117682,"+","TcCLB.511215.14","hypothetical protein, conserved"
