"seq_id","pqsNumber"
"TcCLB.503653.104",0
"TcCLB.506533.70",2
"TcCLB.506533.34",3
"TcCLB.510077.20",2
"TcCLB.411427.10",3
"TcCLB.411427.40",2
"TcCLB.411427.49",0
"TcCLB.421321.9",1
"TcCLB.410961.10",4
"TcCLB.503653.9",2
"TcCLB.510077.30",1
"TcCLB.506533.142",1
"TcCLB.503653.50",10
"TcCLB.503653.70",1
"TcCLB.503653.60",3
"TcCLB.507999.10",3
"TcCLB.463297.10",5
"TcCLB.411427.30",5
"TcCLB.510077.40",1
"TcCLB.448387.9",1
"TcCLB.506533.106",2
"TcCLB.503653.20",4
"TcCLB.503653.30",6
"TcCLB.503653.90",1
"TcCLB.508205.30",3
"TcCLB.508203.38",2
"TcCLB.510351.110",2
"TcCLB.508205.4",1
"TcCLB.506717.80",2
"TcCLB.449247.10",1
"TcCLB.507941.170",1
"TcCLB.507941.20",4
"TcCLB.507941.130",2
"TcCLB.507941.60",2
"TcCLB.506717.100",0
"TcCLB.510353.30",1
"TcCLB.510353.20",3
"TcCLB.506717.140",13
"TcCLB.507941.50",1
"TcCLB.507941.100",1
"TcCLB.510351.90",3
"TcCLB.507941.150",1
"TcCLB.508205.20",5
"TcCLB.506717.30",5
"TcCLB.507941.10",4
"TcCLB.507941.110",0
"TcCLB.510351.130",1
"TcCLB.506717.4",0
"TcCLB.510351.120",3
"TcCLB.510351.70",2
"TcCLB.508205.39",1
"TcCLB.510351.20",2
"TcCLB.449247.4",0
"TcCLB.508203.20",2
"TcCLB.507941.40",0
"TcCLB.508203.29",2
"TcCLB.510351.60",2
"TcCLB.510351.31",3
"TcCLB.510351.40",4
"TcCLB.506717.240",2
"TcCLB.507941.120",0
"TcCLB.507941.30",0
"TcCLB.419417.4",0
"TcCLB.506717.60",4
"TcCLB.449247.20",0
"TcCLB.506717.10",3
"TcCLB.508203.47",2
"TcCLB.506717.25",4
"TcCLB.510351.140",3
"TcCLB.510351.50",1
"TcCLB.506717.200",11
"TcCLB.510351.100",3
"TcCLB.510351.80",1
"TcCLB.506717.219",1
"TcCLB.510351.11",3
"TcCLB.507941.160",1
"TcCLB.419417.19",0
"TcCLB.510351.150",3
"TcCLB.506717.20",4
"TcCLB.510353.10",2
"TcCLB.419417.10",0
"TcCLB.507941.14",2
"TcCLB.507941.80",0
"TcCLB.508205.48",2
"TcCLB.508205.10",2
"TcCLB.508203.56",3
"TcCLB.506717.130",1
"TcCLB.507941.70",0
"TcCLB.506739.180",1
"TcCLB.506739.99",2
"TcCLB.506739.190",5
"TcCLB.506739.200",3
"TcCLB.506739.130",0
"TcCLB.507143.10",2
"TcCLB.507143.80",1
"TcCLB.505229.10",2
"TcCLB.506739.20",1
"TcCLB.506739.110",1
"TcCLB.507143.20",0
"TcCLB.511055.50",2
"TcCLB.506739.90",2
"TcCLB.507145.31",8
"TcCLB.507145.84",1
"TcCLB.505555.40",3
"TcCLB.506739.209",0
"TcCLB.506739.80",0
"TcCLB.511055.40",1
"TcCLB.507143.60",10
"TcCLB.507145.79",0
"TcCLB.507143.40",4
"TcCLB.511055.20",0
"TcCLB.506739.70",0
"TcCLB.507145.98",0
"TcCLB.506739.60",0
"TcCLB.511055.10",2
"TcCLB.506739.170",0
"TcCLB.506739.30",1
"TcCLB.507143.90",10
"TcCLB.404001.10",3
"TcCLB.404001.20",3
"TcCLB.507145.70",0
"TcCLB.505555.50",4
"TcCLB.507145.88",0
"TcCLB.506739.40",3
"TcCLB.505555.30",3
"TcCLB.506739.140",0
"TcCLB.507145.60",3
"TcCLB.505555.20",0
"TcCLB.404001.4",4
"TcCLB.507143.70",12
"TcCLB.506739.160",2
"TcCLB.507143.50",3
"TcCLB.505229.5",2
"TcCLB.506739.10",3
"TcCLB.506739.150",1
"TcCLB.511055.60",3
"TcCLB.509279.10",16
"TcCLB.433673.10",2
"TcCLB.506739.120",0
"TcCLB.505555.61",1
"TcCLB.506739.50",3
"TcCLB.507143.30",4
"TcCLB.505229.20",0
"TcCLB.505555.10",0
"TcCLB.508047.30",0
"TcCLB.510105.230",1
"TcCLB.510105.180",1
"TcCLB.510105.40",0
"TcCLB.510105.130",2
"TcCLB.510105.200",1
"TcCLB.510105.322",1
"TcCLB.510105.140",1
"TcCLB.510105.60",1
"TcCLB.510105.170",4
"TcCLB.510105.136",0
"TcCLB.510105.132",0
"TcCLB.422041.9",6
"TcCLB.510105.160",3
"TcCLB.510105.250",6
"TcCLB.508047.70",0
"TcCLB.510105.190",1
"TcCLB.506553.20",1
"TcCLB.510105.184",0
"TcCLB.510105.134",0
"TcCLB.510105.33",0
"TcCLB.510105.150",0
"TcCLB.510107.41",1
"TcCLB.509537.50",3
"TcCLB.508047.25",1
"TcCLB.510105.50",2
"TcCLB.508047.60",1
"TcCLB.510105.20",2
"TcCLB.510105.240",0
"TcCLB.509537.30",1
"TcCLB.508047.11",0
"TcCLB.509537.70",5
"TcCLB.510105.210",1
"TcCLB.509537.40",2
