"seq_id","pqsNumber"
"TcCLB.509395.120",6
"TcCLB.509395.30",7
"TcCLB.509395.70",1
"TcCLB.509395.59",0
"TcCLB.505037.100",8
"TcCLB.505037.20",1
"TcCLB.505037.60",1
"TcCLB.505037.157",1
"TcCLB.509395.40",6
"TcCLB.505037.50",2
"TcCLB.509395.100",4
"TcCLB.509395.20",9
"TcCLB.505037.140",4
"TcCLB.505037.40",2
"TcCLB.509395.50",3
"TcCLB.505037.30",2
"TcCLB.509395.10",1
"TcCLB.509395.80",1
"TcCLB.505037.70",3
"TcCLB.509395.90",2
"TcCLB.507601.50",1
"TcCLB.507601.80",2
"TcCLB.504639.60",2
"TcCLB.509541.10",4
"TcCLB.507943.80",0
"TcCLB.509985.60",3
"TcCLB.509539.67",0
"TcCLB.509539.30",3
"TcCLB.509539.44",0
"TcCLB.504639.50",2
"TcCLB.507943.50",1
"TcCLB.504639.19",2
"TcCLB.509985.40",1
"TcCLB.507943.5",0
"TcCLB.509985.69",1
"TcCLB.506123.10",1
"TcCLB.509985.30",0
"TcCLB.507943.99",0
"TcCLB.507601.90",3
"TcCLB.507601.140",2
"TcCLB.509541.4",1
"TcCLB.507601.40",2
"TcCLB.507601.10",6
"TcCLB.507943.10",0
"TcCLB.506123.60",1
"TcCLB.509985.10",1
"TcCLB.507601.60",3
"TcCLB.506123.30",4
"TcCLB.509541.19",3
"TcCLB.509539.59",0
"TcCLB.507943.30",0
"TcCLB.507601.120",1
"TcCLB.507601.150",0
"TcCLB.507601.130",1
"TcCLB.509539.10",3
"TcCLB.507943.60",1
"TcCLB.506123.24",4
"TcCLB.507943.20",0
"TcCLB.507943.70",1
"TcCLB.509985.20",2
"TcCLB.506123.40",5
"TcCLB.507601.20",6
"TcCLB.507601.170",0
"TcCLB.509539.50",0
"TcCLB.509987.10",2
"TcCLB.509539.20",6
"TcCLB.509539.40",0
"TcCLB.509985.50",1
"TcCLB.506123.20",7
"TcCLB.507943.40",0
"TcCLB.506123.70",3
"TcCLB.507601.30",3
"TcCLB.506123.50",2
"TcCLB.507601.160",0
"TcCLB.507601.110",4
"TcCLB.507601.70",2
"TcCLB.509985.78",0
"TcCLB.504639.40",2
"TcCLB.506315.50",2
"TcCLB.510819.70",0
"TcCLB.506319.50",14
"TcCLB.510825.10",1
"TcCLB.510825.20",0
"TcCLB.508533.40",0
"TcCLB.510819.30",1
"TcCLB.506315.10",2
"TcCLB.506317.30",1
"TcCLB.510823.20",0
"TcCLB.510817.40",0
"TcCLB.503459.10",1
"TcCLB.510819.60",3
"TcCLB.510823.50",2
"TcCLB.510819.110",1
"TcCLB.506317.20",7
"TcCLB.508533.30",2
"TcCLB.510819.119",2
"TcCLB.506315.90",4
"TcCLB.510817.30",1
"TcCLB.510825.30",5
"TcCLB.510819.10",4
"TcCLB.506319.5",2
"TcCLB.508533.50",6
"TcCLB.510827.10",10
"TcCLB.506319.60",1
"TcCLB.506319.10",5
"TcCLB.510819.20",2
"TcCLB.510821.20",5
"TcCLB.508531.10",0
"TcCLB.510829.20",11
"TcCLB.508533.10",2
"TcCLB.510823.30",3
"TcCLB.508533.20",3
"TcCLB.510823.70",1
"TcCLB.510823.100",2
"TcCLB.506319.40",14
"TcCLB.506315.70",0
"TcCLB.510819.100",1
"TcCLB.411915.10",0
"TcCLB.510821.60",5
"TcCLB.510823.10",3
"TcCLB.510823.40",5
"TcCLB.510827.40",6
"TcCLB.510821.10",2
"TcCLB.510817.5",1
"TcCLB.506315.20",0
"TcCLB.506319.70",12
"TcCLB.510831.10",2
"TcCLB.510821.50",4
"TcCLB.510829.10",22
"TcCLB.506315.40",1
"TcCLB.506317.10",9
"TcCLB.506319.20",5
"TcCLB.503459.29",1
"TcCLB.506315.30",0
"TcCLB.503459.20",1
"TcCLB.510823.60",1
"TcCLB.510821.40",0
"TcCLB.506319.30",3
"TcCLB.506313.10",1
"TcCLB.510819.90",1
"TcCLB.510819.4",4
"TcCLB.506315.60",1
"TcCLB.510817.60",3
"TcCLB.510817.21",1
"TcCLB.510823.109",0
"TcCLB.510823.90",4
"TcCLB.506315.100",4
"TcCLB.510823.80",2
"TcCLB.510817.50",0
"TcCLB.510817.10",1
"TcCLB.506315.80",1
"TcCLB.510831.21",4
"TcCLB.510819.40",3
"TcCLB.506001.24",0
"TcCLB.506001.101",2
"TcCLB.506001.14",1
"TcCLB.509715.30",0
"TcCLB.507681.180",2
"TcCLB.507681.189",2
"TcCLB.509715.45",1
"TcCLB.509715.20",2
"TcCLB.507681.170",2
"TcCLB.507681.259",0
"TcCLB.507769.40",1
"TcCLB.509715.123",0
"TcCLB.509717.37",0
"TcCLB.506001.19",0
"TcCLB.509717.34",0
"TcCLB.509717.176",1
"TcCLB.507681.60",0
"TcCLB.507769.10",0
"TcCLB.507681.160",2
"TcCLB.478071.10",1
"TcCLB.509717.90",0
"TcCLB.507681.80",4
"TcCLB.402857.10",0
"TcCLB.509715.125",0
"TcCLB.509715.140",0
"TcCLB.509715.70",2
"TcCLB.507681.120",2
"TcCLB.507767.10",2
"TcCLB.509717.70",2
"TcCLB.507681.150",0
"TcCLB.507681.210",8
"TcCLB.507769.50",0
"TcCLB.509717.50",1
"TcCLB.509717.30",1
"TcCLB.509715.80",5
"TcCLB.507681.100",0
"TcCLB.509715.26",0
"TcCLB.402857.20",0
"TcCLB.506001.50",4
"TcCLB.507681.200",2
"TcCLB.509715.130",2
"TcCLB.506001.111",1
"TcCLB.509715.120",2
"TcCLB.507769.20",0
"TcCLB.507681.20",1
"TcCLB.507681.240",2
"TcCLB.507681.50",1
"TcCLB.507681.70",5
"TcCLB.509715.122",0
"TcCLB.506001.120",1
"TcCLB.509717.80",1
"TcCLB.509717.60",1
"TcCLB.509717.140",4
"TcCLB.509715.9",1
"TcCLB.509715.60",0
"TcCLB.509717.164",2
"TcCLB.507681.230",5
"TcCLB.509717.100",4
"TcCLB.509715.124",0
"TcCLB.509715.150",0
"TcCLB.509717.20",3
"TcCLB.506001.40",2
"TcCLB.507681.250",2
"TcCLB.507681.220",11
"TcCLB.509715.23",0
"TcCLB.507681.90",0
"TcCLB.507681.130",2
"TcCLB.506001.90",4
"TcCLB.509715.40",2
"TcCLB.507681.40",1
"TcCLB.506001.30",2
"TcCLB.509715.50",0
"TcCLB.509715.104",3
"TcCLB.509717.9",3
"TcCLB.509717.152",1
"TcCLB.507681.30",2
"TcCLB.507681.10",1
"TcCLB.509715.90",2
"TcCLB.509715.121",0
"TcCLB.509715.126",1
"TcCLB.509717.40",0
"TcCLB.509715.55",0
"TcCLB.507769.30",1
"TcCLB.508059.10",2
"TcCLB.510121.9",0
"TcCLB.508061.10",1
"TcCLB.511367.159",5
"TcCLB.503965.10",1
"TcCLB.511367.20",0
"TcCLB.511367.60",4
"TcCLB.511367.70",5
"TcCLB.508059.24",0
"TcCLB.511367.40",4
"TcCLB.510121.40",0
"TcCLB.511367.260",4
"TcCLB.510121.160",4
"TcCLB.508059.4",5
"TcCLB.508061.154",4
"TcCLB.511367.370",0
"TcCLB.511367.150",4
"TcCLB.510121.80",3
"TcCLB.511367.199",12
"TcCLB.510121.30",1
"TcCLB.506561.14",0
"TcCLB.510121.90",1
"TcCLB.508061.20",3
"TcCLB.511367.170",4
"TcCLB.506561.20",3
"TcCLB.510119.60",2
"TcCLB.511367.310",2
"TcCLB.510119.40",0
"TcCLB.508061.50",3
"TcCLB.511367.210",9
"TcCLB.506491.10",8
"TcCLB.510119.9",0
"TcCLB.508947.5",2
"TcCLB.511367.290",2
"TcCLB.510121.60",1
"TcCLB.443971.10",0
"TcCLB.510121.170",2
"TcCLB.508059.30",1
"TcCLB.508059.20",0
"TcCLB.508945.20",3
"TcCLB.511367.80",3
"TcCLB.510121.190",5
"TcCLB.511367.50",8
"TcCLB.511367.110",5
"TcCLB.511367.90",4
"TcCLB.511367.10",0
"TcCLB.511367.30",0
"TcCLB.508061.130",7
"TcCLB.510121.50",1
"TcCLB.510119.20",0
"TcCLB.511367.280",3
"TcCLB.508061.30",4
"TcCLB.416891.19",0
"TcCLB.511367.180",4
"TcCLB.511367.129",1
"TcCLB.511367.350",1
"TcCLB.503965.30",0
"TcCLB.511367.360",1
"TcCLB.506491.20",1
"TcCLB.506561.10",1
"TcCLB.510121.100",0
"TcCLB.511367.138",3
"TcCLB.503965.39",0
"TcCLB.510121.140",5
"TcCLB.511367.220",0
"TcCLB.510121.70",2
"TcCLB.510119.70",2
"TcCLB.511367.120",4
"TcCLB.510121.180",3
"TcCLB.508947.9",9
"TcCLB.511367.100",6
"TcCLB.508059.50",0
"TcCLB.510121.120",0
"TcCLB.511367.230",1
"TcCLB.511367.74",2
"TcCLB.510121.110",2
"TcCLB.510119.50",1
"TcCLB.511367.320",0
"TcCLB.510119.30",0
"TcCLB.510121.130",0
"TcCLB.503965.20",0
"TcCLB.508061.40",2
"TcCLB.511367.190",5
"TcCLB.511367.240",4
"TcCLB.508061.60",5
"TcCLB.511367.330",1
"TcCLB.508059.40",0
"TcCLB.511367.340",1
"TcCLB.508945.10",6
"TcCLB.511367.354",1
"TcCLB.416891.9",0
"TcCLB.510121.150",8
"TcCLB.510121.20",1
"TcCLB.510885.110",2
"TcCLB.509429.250",6
"TcCLB.508593.20",6
"TcCLB.510889.290",12
"TcCLB.509399.140",5
"TcCLB.510889.20",3
"TcCLB.508593.69",0
"TcCLB.509399.80",3
"TcCLB.509429.160",2
"TcCLB.509429.120",0
"TcCLB.508593.40",3
"TcCLB.508593.50",3
"TcCLB.507297.30",7
"TcCLB.510889.200",2
"TcCLB.460197.10",15
"TcCLB.509399.180",1
"TcCLB.509429.310",3
"TcCLB.510885.70",1
"TcCLB.509429.180",6
"TcCLB.508593.30",0
"TcCLB.510889.310",1
"TcCLB.510885.50",1
"TcCLB.509399.70",2
"TcCLB.510889.251",6
"TcCLB.509399.190",17
"TcCLB.510889.205",0
"TcCLB.509429.200",3
"TcCLB.507297.20",5
"TcCLB.508593.110",0
"TcCLB.510889.280",13
"TcCLB.510885.100",2
"TcCLB.510889.210",1
"TcCLB.510887.64",2
"TcCLB.509429.290",4
"TcCLB.510889.221",3
"TcCLB.509429.210",2
"TcCLB.510889.140",2
"TcCLB.508593.80",0
"TcCLB.509399.90",3
"TcCLB.509429.30",3
"TcCLB.509399.20",5
"TcCLB.510885.40",3
"TcCLB.510885.60",1
"TcCLB.508593.140",14
"TcCLB.509429.59",0
"TcCLB.509429.90",0
"TcCLB.510889.330",2
"TcCLB.509399.120",2
"TcCLB.509429.140",1
"TcCLB.509429.320",2
"TcCLB.509429.329",1
"TcCLB.510889.266",5
"TcCLB.509429.260",4
"TcCLB.510887.70",0
"TcCLB.508593.44",4
"TcCLB.508593.150",11
"TcCLB.510889.270",4
"TcCLB.510885.120",0
"TcCLB.510889.50",3
"TcCLB.509399.150",3
"TcCLB.509429.50",2
"TcCLB.509429.130",0
"TcCLB.510889.170",3
"TcCLB.510885.10",8
"TcCLB.509399.9",8
"TcCLB.508593.10",9
"TcCLB.510889.261",10
"TcCLB.510885.160",2
"TcCLB.510885.80",5
"TcCLB.509429.100",0
"TcCLB.509429.70",1
"TcCLB.509429.280",5
"TcCLB.510885.30",6
"TcCLB.509429.240",2
"TcCLB.509429.110",0
"TcCLB.510889.320",1
"TcCLB.508595.11",6
"TcCLB.510885.130",2
"TcCLB.510889.120",2
