"seq_id","pqsNumber"
"TevSTIB805.1.1260",0
"TevSTIB805.1.4300",5
"TevSTIB805.1.5110",1
"TevSTIB805.1.300",0
"TevSTIB805.1.5090",1
"TevSTIB805.1.1450",3
"TevSTIB805.1.530",1
"TevSTIB805.1.3660",2
"TevSTIB805.1.4820",0
"TevSTIB805.1.2230",2
"TevSTIB805.1.3990",1
"TevSTIB805.1.4230",1
"TevSTIB805.1.4800",1
"TevSTIB805.1.4270",1
"TevSTIB805.1.2920",1
"TevSTIB805.1.3000",2
"TevSTIB805.1.1300",1
"TevSTIB805.1.1250",0
"TevSTIB805.1.2600",1
"TevSTIB805.1.3550",1
"TevSTIB805.1.790",2
"TevSTIB805.1.2720",0
"TevSTIB805.1.930",1
"TevSTIB805.1.3720",0
"TevSTIB805.1.2910",0
"TevSTIB805.1.2680",6
"TevSTIB805.1.10",4
"TevSTIB805.1.2540",0
"TevSTIB805.1.4500",0
"TevSTIB805.1.3560",1
"TevSTIB805.1.4390",6
"TevSTIB805.1.2460",1
"TevSTIB805.1.2180",1
"TevSTIB805.1.1040",0
"TevSTIB805.1.1190",1
"TevSTIB805.1.5050",0
"TevSTIB805.1.1030",1
"TevSTIB805.1.1560",0
"TevSTIB805.1.970",3
"TevSTIB805.1.80",0
"TevSTIB805.1.60",0
"TevSTIB805.1.1930",0
"TevSTIB805.1.2950",1
"TevSTIB805.1.4220",1
"TevSTIB805.1.1310",0
"TevSTIB805.1.2980",2
"TevSTIB805.1.4830",0
"TevSTIB805.1.730",0
"TevSTIB805.1.1540",1
"TevSTIB805.1.1350",0
"TevSTIB805.1.630",1
"TevSTIB805.1.3920",3
"TevSTIB805.1.940",2
"TevSTIB805.1.4080",0
"TevSTIB805.1.2260",0
"TevSTIB805.1.4670",0
"TevSTIB805.1.450",3
"TevSTIB805.1.2990",1
"TevSTIB805.1.4010",4
"TevSTIB805.1.4790",0
"TevSTIB805.1.4210",1
"TevSTIB805.1.1380",0
"TevSTIB805.1.2350",1
"TevSTIB805.1.870",0
"TevSTIB805.1.740",0
"TevSTIB805.1.3500",0
"TevSTIB805.1.3200",3
"TevSTIB805.1.4660",3
"TevSTIB805.1.4180",2
"TevSTIB805.1.2120",3
"TevSTIB805.1.5150",0
"TevSTIB805.1.1480",0
"TevSTIB805.1.3810",2
"TevSTIB805.1.2880",2
"TevSTIB805.1.1270",1
"TevSTIB805.1.4930",0
"TevSTIB805.1.1550",1
"TevSTIB805.1.1670",1
"TevSTIB805.1.3710",2
"TevSTIB805.1.490",1
"TevSTIB805.1.4190",4
"TevSTIB805.1.2080",1
"TevSTIB805.1.980",1
"TevSTIB805.1.1960",0
"TevSTIB805.1.1730",0
"TevSTIB805.1.4970",0
"TevSTIB805.1.1360",2
"TevSTIB805.1.3620",2
"TevSTIB805.1.3900",1
"TevSTIB805.1.4680",0
"TevSTIB805.1.290",0
"TevSTIB805.1.1010",1
"TevSTIB805.1.1200",1
"TevSTIB805.1.3330",0
"TevSTIB805.1.380",0
"TevSTIB805.1.440",0
"TevSTIB805.1.3910",3
"TevSTIB805.1.4120",2
"TevSTIB805.1.2420",1
"TevSTIB805.1.220",0
"TevSTIB805.1.4580",1
"TevSTIB805.1.2770",0
"TevSTIB805.1.5130",0
"TevSTIB805.1.2170",0
"TevSTIB805.1.4380",5
"TevSTIB805.1.1820",2
"TevSTIB805.1.1570",0
"TevSTIB805.1.3850",2
"TevSTIB805.1.1180",2
"TevSTIB805.1.2610",1
"TevSTIB805.1.2550",0
"TevSTIB805.1.5240",0
"TevSTIB805.1.4540",0
"TevSTIB805.1.4600",0
"TevSTIB805.1.1400",2
"TevSTIB805.1.1870",1
"TevSTIB805.1.1640",2
"TevSTIB805.1.3090",1
"TevSTIB805.1.4420",0
"TevSTIB805.1.660",0
"TevSTIB805.1.4880",0
"TevSTIB805.1.2210",1
"TevSTIB805.1.100",0
"TevSTIB805.1.2070",2
"TevSTIB805.1.4760",0
"TevSTIB805.1.4770",0
"TevSTIB805.1.2650",0
"TevSTIB805.1.800",1
"TevSTIB805.1.1710",0
"TevSTIB805.1.1100",0
"TevSTIB805.1.4860",0
"TevSTIB805.1.1740",0
"TevSTIB805.1.3410",0
"TevSTIB805.1.3430",0
"TevSTIB805.1.4870",0
"TevSTIB805.1.2630",1
"TevSTIB805.1.3190",1
"TevSTIB805.1.2510",6
"TevSTIB805.1.2930",1
"TevSTIB805.1.4030",0
"TevSTIB805.1.3890",1
"TevSTIB805.1.3460",4
"TevSTIB805.1.3970",1
"TevSTIB805.1.3610",1
"TevSTIB805.1.2520",3
"TevSTIB805.1.1590",1
"TevSTIB805.1.590",5
"TevSTIB805.1.2300",0
"TevSTIB805.1.2810",2
"TevSTIB805.1.2800",1
"TevSTIB805.1.2690",3
"TevSTIB805.1.2870",1
"TevSTIB805.1.200",0
"TevSTIB805.1.3270",2
"TevSTIB805.1.3540",1
"TevSTIB805.1.2480",2
"TevSTIB805.1.320",0
"TevSTIB805.1.2740",0
"TevSTIB805.1.5160",0
"TevSTIB805.1.4320",1
"TevSTIB805.1.3160",2
"TevSTIB805.1.710",0
"TevSTIB805.1.3470",3
"TevSTIB805.1.3060",0
"TevSTIB805.1.680",1
"TevSTIB805.1.840",6
"TevSTIB805.1.3510",1
"TevSTIB805.1.1460",5
"TevSTIB805.1.3120",3
"TevSTIB805.1.5100",1
"TevSTIB805.1.3930",1
"TevSTIB805.1.4570",2
"TevSTIB805.1.2110",3
"TevSTIB805.1.2580",3
"TevSTIB805.1.4110",0
"TevSTIB805.1.2850",0
"TevSTIB805.1.5040",0
"TevSTIB805.1.2160",1
"TevSTIB805.1.700",1
"TevSTIB805.1.1420",0
"TevSTIB805.1.5120",0
"TevSTIB805.1.990",0
"TevSTIB805.1.2040",3
"TevSTIB805.1.2150",0
"TevSTIB805.1.1860",3
"TevSTIB805.1.1680",0
"TevSTIB805.1.1980",0
"TevSTIB805.1.1110",0
"TevSTIB805.1.5230",0
"TevSTIB805.1.2190",2
"TevSTIB805.1.780",1
"TevSTIB805.1.3790",5
"TevSTIB805.1.2830",0
"TevSTIB805.1.5200",0
"TevSTIB805.1.1330",2
"TevSTIB805.1.2240",0
"TevSTIB805.1.500",0
"TevSTIB805.1.3290",2
"TevSTIB805.1.360",1
"TevSTIB805.1.4620",2
"TevSTIB805.1.3600",0
"TevSTIB805.1.3180",2
"TevSTIB805.1.880",0
"TevSTIB805.1.4850",0
"TevSTIB805.1.550",0
"TevSTIB805.1.1080",2
"TevSTIB805.1.2530",1
"TevSTIB805.1.3210",1
"TevSTIB805.1.600",5
"TevSTIB805.1.4560",0
"TevSTIB805.1.1340",0
"TevSTIB805.1.4090",0
"TevSTIB805.1.2280",0
"TevSTIB805.1.4470",1
"TevSTIB805.1.3130",1
"TevSTIB805.1.3070",1
"TevSTIB805.1.4130",1
"TevSTIB805.1.580",0
"TevSTIB805.1.240",1
"TevSTIB805.1.4240",0
"TevSTIB805.1.3420",0
"TevSTIB805.1.3740",1
"TevSTIB805.1.3680",1
"TevSTIB805.1.1660",3
"TevSTIB805.1.30",1
"TevSTIB805.1.3450",1
"TevSTIB805.1.2700",0
"TevSTIB805.1.560",1
"TevSTIB805.1.2960",2
"TevSTIB805.1.1510",0
"TevSTIB805.1.5000",0
"TevSTIB805.1.3700",5
"TevSTIB805.1.2730",0
"TevSTIB805.1.4340",2
"TevSTIB805.1.2900",1
"TevSTIB805.1.2670",2
"TevSTIB805.1.4260",1
"TevSTIB805.1.190",2
"TevSTIB805.1.1910",1
"TevSTIB805.1.3150",2
"TevSTIB805.1.2710",0
"TevSTIB805.1.3530",0
"TevSTIB805.1.1320",2
"TevSTIB805.1.1840",1
"TevSTIB805.1.4910",0
"TevSTIB805.1.2060",3
"TevSTIB805.1.2750",0
"TevSTIB805.1.860",1
"TevSTIB805.1.390",2
"TevSTIB805.1.1690",0
"TevSTIB805.1.1440",1
"TevSTIB805.1.3320",0
"TevSTIB805.1.750",0
"TevSTIB805.1.2000",2
"TevSTIB805.1.3640",0
"TevSTIB805.1.3590",1
"TevSTIB805.1.1890",2
"TevSTIB805.1.2290",0
"TevSTIB805.1.4650",1
"TevSTIB805.1.1470",2
"TevSTIB805.1.4510",0
"TevSTIB805.1.4630",1
"TevSTIB805.1.3360",6
"TevSTIB805.1.850",2
"TevSTIB805.1.2470",1
"TevSTIB805.1.3630",1
"TevSTIB805.1.3110",3
"TevSTIB805.1.1850",3
"TevSTIB805.1.3050",0
"TevSTIB805.1.1410",1
"TevSTIB805.1.3950",4
"TevSTIB805.1.3390",0
"TevSTIB805.1.2270",0
"TevSTIB805.1.2090",1
"TevSTIB805.1.4900",1
"TevSTIB805.1.4350",1
"TevSTIB805.1.4330",1
"TevSTIB805.1.4890",1
"TevSTIB805.1.720",0
"TevSTIB805.1.20",0
"TevSTIB805.1.4480",0
"TevSTIB805.1.280",0
"TevSTIB805.1.3650",0
"TevSTIB805.1.4450",1
"TevSTIB805.1.5070",0
"TevSTIB805.1.230",0
"TevSTIB805.1.4740",1
"TevSTIB805.1.2560",1
"TevSTIB805.1.1150",2
"TevSTIB805.1.150",2
"TevSTIB805.1.3310",0
"TevSTIB805.1.430",0
"TevSTIB805.1.4160",1
"TevSTIB805.1.4020",0
"TevSTIB805.1.2030",6
"TevSTIB805.1.3830",0
"TevSTIB805.1.340",1
"TevSTIB805.1.160",1
"TevSTIB805.1.1230",2
"TevSTIB805.1.640",0
"TevSTIB805.1.830",1
"TevSTIB805.1.4730",0
"TevSTIB805.1.4710",1
"TevSTIB805.1.4810",0
"TevSTIB805.1.1900",0
"TevSTIB805.1.1630",0
"TevSTIB805.1.3870",3
"TevSTIB805.1.4990",0
"TevSTIB805.1.3230",4
"TevSTIB805.1.4720",1
"TevSTIB805.1.3170",2
"TevSTIB805.1.5250",0
"TevSTIB805.1.4700",1
"TevSTIB805.1.1800",0
"TevSTIB805.1.2390",1
"TevSTIB805.1.570",0
"TevSTIB805.1.1770",3
"TevSTIB805.1.5080",1
"TevSTIB805.1.400",4
"TevSTIB805.1.4070",0
"TevSTIB805.1.3750",0
"TevSTIB805.1.4000",4
"TevSTIB805.1.650",0
"TevSTIB805.1.2200",1
"TevSTIB805.1.1240",1
"TevSTIB805.1.3440",0
"TevSTIB805.1.130",0
"TevSTIB805.1.3100",3
"TevSTIB805.1.4140",2
"TevSTIB805.1.1070",1
"TevSTIB805.1.910",0
"TevSTIB805.1.2100",5
"TevSTIB805.1.1370",2
"TevSTIB805.1.1000",0
"TevSTIB805.1.5140",0
"TevSTIB805.1.2820",0
"TevSTIB805.1.3580",2
"TevSTIB805.1.5030",0
"TevSTIB805.1.3370",1
"TevSTIB805.1.2570",1
"TevSTIB805.1.4520",1
"TevSTIB805.1.1760",1
"TevSTIB805.1.1210",1
"TevSTIB805.1.4590",0
"TevSTIB805.1.960",1
"TevSTIB805.1.180",6
"TevSTIB805.1.4610",0
"TevSTIB805.1.920",0
"TevSTIB805.1.4490",1
"TevSTIB805.1.2360",1
"TevSTIB805.1.5060",0
"TevSTIB805.1.2500",1
"TevSTIB805.1.350",1
"TevSTIB805.1.3040",1
"TevSTIB805.1.1020",0
"TevSTIB805.1.3730",0
"TevSTIB805.1.2640",1
"TevSTIB805.1.480",1
"TevSTIB805.1.3670",3
"TevSTIB805.1.4430",1
"TevSTIB805.1.1600",2
"TevSTIB805.1.2340",0
"TevSTIB805.1.1130",1
"TevSTIB805.1.2140",0
"TevSTIB805.1.4960",0
"TevSTIB805.1.1610",2
"TevSTIB805.1.2250",0
"TevSTIB805.1.1720",1
"TevSTIB805.1.5020",1
"TevSTIB805.1.3690",2
"TevSTIB805.1.3250",2
"TevSTIB805.1.1810",1
"TevSTIB805.1.4310",0
"TevSTIB805.1.3760",1
"TevSTIB805.1.3080",1
"TevSTIB805.1.3030",2
"TevSTIB805.1.3240",4
"TevSTIB805.1.820",3
"TevSTIB805.1.40",1
"TevSTIB805.1.3940",5
"TevSTIB805.1.4400",3
"TevSTIB805.1.3260",0
"TevSTIB805.1.1970",0
"TevSTIB805.1.5210",0
"TevSTIB805.1.4920",0
"TevSTIB805.1.3820",3
"TevSTIB805.1.2620",3
"TevSTIB805.1.4460",0
"TevSTIB805.1.510",1
"TevSTIB805.1.4040",2
"TevSTIB805.1.5190",1
"TevSTIB805.1.2400",1
"TevSTIB805.1.1060",0
"TevSTIB805.1.420",2
"TevSTIB805.1.2790",2
"TevSTIB805.1.3340",0
"TevSTIB805.1.4410",3
"TevSTIB805.1.3490",1
"TevSTIB805.1.540",0
"TevSTIB805.1.1390",0
"TevSTIB805.1.2940",0
"TevSTIB805.1.260",1
"TevSTIB805.1.5260",29
"TevSTIB805.1.3770",3
"TevSTIB805.1.2410",1
"TevSTIB805.1.3880",1
"TevSTIB805.1.4690",0
"TevSTIB805.1.890",3
"TevSTIB805.1.3280",3
"TevSTIB805.1.2780",1
"TevSTIB805.1.1940",0
"TevSTIB805.1.2430",1
"TevSTIB805.1.770",2
"TevSTIB805.1.170",1
"TevSTIB805.1.1220",1
"TevSTIB805.1.620",0
"TevSTIB805.1.2010",1
"TevSTIB805.1.2310",0
"TevSTIB805.1.1280",3
"TevSTIB805.1.2970",2
"TevSTIB805.1.4780",0
"TevSTIB805.1.4980",1
"TevSTIB805.1.3140",1
"TevSTIB805.1.4360",1
"TevSTIB805.1.690",2
"TevSTIB805.1.2330",1
"TevSTIB805.1.4550",0
"TevSTIB805.1.270",1
"TevSTIB805.1.3520",1
"TevSTIB805.1.4290",3
"TevSTIB805.1.310",0
"TevSTIB805.1.70",0
"TevSTIB805.1.3010",4
"TevSTIB805.1.2860",0
"TevSTIB805.1.1500",0
"TevSTIB805.1.330",0
