"seqid","type","start","end","strand","ID","description"
"Ld32_v01s1","IGI",1172327,1175715,"-","LdBPK_323120.1","minichromosome maintenance (MCM) complex subunit, putative"
"Ld11_v01s1","IGI",502020,528080,"+","LdBPK_111230.1","ATP-binding cassette protein subfamily A, member 3, putative (fragment)"
"Ld17_v01s1","IGI",383622,389474,"-","LdBPK_170910.1","G-patch domain containing protein, putative"
"Ld35_v01s1","IGI",1540120,1544206,"-","LdBPK_353890.1","30S Ribosomal protein S17-like protein"
"Ld35_v01s1","IGI",1449931,1454848,"-","LdBPK_353600.1","hypothetical protein, conserved"
"Ld35_v01s1","IGI",1274514,1276245,"-","LdBPK_35snoRNA1","unspecified product"
"Ld07_v01s1","IGI",462812,473077,"+","LdBPK_071060.1","hypothetical protein, unknown function"
"Ld36_v01s1","IGI",2177653,2180510,"-","LdBPK_365810.1","emp24/gp25L/p24 family/GOLD, putative"
"Ld27_v01s1","IGI",905202,909397,"-","LdBPK_272220.1","transcription elongation regulator-like protein"
"Ld36_v01s1","IGI",2524957,2528651,"-","LdBPK_366740.1","tartrate-sensitive acid phosphatase acp-3.2, putative"
"Ld12_v01s1","IGI",547430,550817,"+","LdBPK_120880.1","SET domain containing protein, putative"
"Ld33_v01s1","IGI",382137,387808,"+","LdBPK_331120.1","chloride channel protein, putative"
"Ld24_v01s1","IGI",22040,26433,"+","LdBPK_240120.1","WD40/YVTN repeat-like-containing protein"
"Ld04_v01s1","IGI",84259,87228,"+","LdBPK_040260.1","Mitochondrial 39-S ribosomal protein L47 (MRP-L47), putative"
"Ld36_v01s1","IGI",1940369,1947834,"-","LdBPK_365190.1","hypothetical protein, unknown function"
"Ld29_v01s1","IGI",95611,100467,"-","LdBPK_290280.1","hypothetical protein, conserved"
"Ld27_v01s1","IGI",398644,402704,"-","LdBPK_270960.1","Emopamil binding protein, putative"
"Ld13_v01s1","IGI",498776,506559,"-","LdBPK_131350.1","Kinesin-13 5, putative"
"Ld23_v01s1","IGI",400573,403819,"-","LdBPK_230970.1","hypothetical protein, conserved"
"Ld31_v01s1","IGI",1311410,1316798,"-","LdBPK_312760.1","hypothetical protein, unknown function"
