"seqid","type","start","end","strand","ID","description"
"STIB805_Chr11_01","IGI",2624868,2629158,"+","TevSTIB805.11_01.10280","2-oxoglutarate dehydrogenase E1 component, putative"
"STIB805_Chr08","IGI",1238616,1240749,"-","TevSTIB805.8.4410","nuclear transport factor 2, putative"
"STIB805_Chr11_01","IGI",2699119,2701873,"+","TevSTIB805.11_01.10660","hypothetical protein, conserved"
"STIB805_Chr09","IGI",1015486,1017058,"+","TevSTIB805.9.4950","hypothetical protein, conserved"
"STIB805_Chr01","IGI",333945,334389,"+","TevSTIB805.1.1260","hypothetical protein, unlikely"
"STIB805_Chr04","IGI",1393118,1395957,"-","TevSTIB805.4.5360","hypothetical protein, conserved"
"STIB805_Chr09","IGI",525154,531230,"-","TevSTIB805.9.2030","hypothetical protein, conserved"
"STIB805_Chr04","IGI",17668,18595,"+","TevSTIB805.4.100","hypothetical protein"
"STIB805_Chr11_01","IGI",2601397,2602160,"+","TevSTIB805.11_01.10150","hypothetical protein, conserved"
"STIB805_Chr08","IGI",2013888,2019690,"+","TevSTIB805.8.7450","serine/threonine-protein kinase a, putative,protein kinase, putative"
"STIB805_Chr07","IGI",2094728,2099355,"-","TevSTIB805.7.8050","hypothetical protein, conserved"
"STIB805_Chr01","IGI",897895,901252,"+","TevSTIB805.1.4300","hypothetical protein, conserved"
"STIB805_Chr07","IGI",821767,824104,"+","TevSTIB805.7.3360","protein kinase, putative"
"STIB805_Chr10","IGI",3085373,3088805,"-","TevSTIB805.10.13420","hypothetical protein, conserved,zinc finger protein family member, putative"
"STIB805_Chr08","IGI",1651466,1653354,"+","TevSTIB805.8.5950","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",4277844,4280615,"-","TevSTIB805.11_01.16950","hypothetical protein, conserved"
"STIB805_Chr07","IGI",1299476,1301435,"-","TevSTIB805.7.5370","NAD(p)-dependent steroid dehydrogenase-like protein"
"STIB805_Chr10","IGI",1479753,1483797,"-","TevSTIB805.10.6320","hypothetical protein, conserved,predicted tripartite motif protein,predicted zinc finger protein"
"STIB805_Chr09","IGI",77130,79549,"+","TevSTIB805.9.290","expression site-associated gene (ESAG, pseudogene), putative"
"STIB805_Chr10","IGI",2179891,2184661,"+","TevSTIB805.10.9450","kinetoplast DNA-associated protein, putative"
"STIB805_Chr10","IGI",755422,759164,"+","TevSTIB805.10.3200","GTP-binding protein, putative"
"STIB805_Chr05","IGI",373037,377460,"+","TevSTIB805.5.1280","hypothetical protein, conserved"
"STIB805_Chr10","IGI",1713151,1716673,"+","TevSTIB805.10.7280","hypothetical protein"
"STIB805_Chr07","IGI",104220,107669,"-","TevSTIB805.7.480","chaperone protein DNAj, putative"
"STIB805_Chr09","IGI",1424193,1425383,"-","TevSTIB805.9.7000","hypothetical protein, unlikely"
"STIB805_Chr06","IGI",1106612,1110234,"-","TevSTIB805.6.3920","valosin-containing protein homolog, putative,AAA ATPase"
"STIB805_Chr05","IGI",1435777,1438061,"-","TevSTIB805.5.5490","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, truncated, degenerate"
"STIB805_Chr05","IGI",102255,113616,"+","TevSTIB805.5.370","75 kDa invariant surface glycoprotein, putative"
"STIB805_Chr10","IGI",3162900,3166837,"-","TevSTIB805.10.13730","hypothetical protein, conserved"
"STIB805_Chr02","IGI",21307,23732,"-","TevSTIB805.2.60","unspecified product"
"STIB805_Chr09","IGI",758905,760625,"+","TevSTIB805.9.3510","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1338526,1341094,"-","TevSTIB805.3.5080","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1005389,1006574,"+","TevSTIB805.3.3850","unspecified product"
"STIB805_Chr11_01","IGI",1687665,1689056,"-","TevSTIB805.11_01.6290","hypothetical protein, conserved"
"STIB805_Chr05","IGI",610501,618722,"+","TevSTIB805.5.2250","hypothetical protein"
"STIB805_Chr07","IGI",739990,744291,"+","TevSTIB805.7.3080","ATP-dependent DEAD/H RNA helicase, putative"
"STIB805_Chr03","IGI",1079576,1093749,"+","TevSTIB805.3.4160","RNA-binding protein, putative"
"STIB805_Chr04","IGI",601938,603708,"+","TevSTIB805.4.2430","hypothetical protein, conserved"
"STIB805_Chr05","IGI",1175786,1179500,"+","TevSTIB805.5.4360","orotidine-5-phosphate decarboxylase/orotate phosphoribosyltransferase, putative,OMPDCase-OPRTase, putative"
"STIB805_Chr10","IGI",2741116,2743358,"+","TevSTIB805.10.11900","hypothetical protein"
"STIB805_Chr08","IGI",2193325,2195744,"+","TevSTIB805.8.8140","unspecified product"
"STIB805_Chr06","IGI",1217118,1222256,"-","TevSTIB805.6.4520","kinesin, putative"
"STIB805_Chr11_01","IGI",4182201,4185039,"-","TevSTIB805.11_01.16600","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",3472864,3476228,"-","TevSTIB805.11_01.13650","hypothetical protein, conserved"
"STIB805_Chr11_03","IGI",118771,122120,"+","TevSTIB805.11_03.450","hypothetical protein, conserved"
"STIB805_Chr04","IGI",735237,737899,"+","TevSTIB805.4.2910","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",2841486,2844169,"+","TevSTIB805.11_01.11220","hypothetical protein, conserved"
"STIB805_Chr05","IGI",1261986,1263154,"-","TevSTIB805.5.4780","histone H4, putative"
"STIB805_Chr11_01","IGI",883926,889811,"+","TevSTIB805.11_01.3290","hypothetical protein"
"STIB805_Chr06","IGI",225435,228948,"+","TevSTIB805.6.550","gene related to expression site-associated gene 2 (GRESAG2), putative"
"STIB805_Chr10","IGI",67892,69009,"+","TevSTIB805.10.320","cytochrome oxidase subunit VI"
"STIB805_Chr05","IGI",1369910,1372740,"-","TevSTIB805.5.5250","unspecified product"
"STIB805_Chr08","IGI",1011311,1014964,"+","TevSTIB805.8.3610","thymidylate kinase, putative"
"STIB805_Chr11_01","IGI",2037146,2039449,"+","TevSTIB805.11_01.7620","hypothetical protein, conserved"
"STIB805_Chr04","IGI",472295,482673,"-","TevSTIB805.4.1970","hypothetical protein, conserved"
"STIB805_Chr06","IGI",1231936,1234412,"-","TevSTIB805.6.4580","hypothetical protein, conserved"
"STIB805_Chr09","IGI",807635,808644,"+","TevSTIB805.9.3830","hypothetical protein, conserved"
"STIB805_Chr05","IGI",1401553,1406369,"-","TevSTIB805.5.5390","variant surface glycoprotein (VSG), putative"
"STIB805_Chr10","IGI",271040,273650,"-","TevSTIB805.10.1170","cell division protein kinase 2 homolog 1,cdc2- like protein kinase"
"STIB805_Chr10","IGI",3895123,3897466,"+","TevSTIB805.10.16730","hypothetical protein, conserved"
"STIB805_Chr10","IGI",2370869,2378421,"+","TevSTIB805.10.10270","hypothetical protein, conserved,predicted C2 domain protein"
"STIB805_Chr04","IGI",709600,711327,"+","TevSTIB805.4.2800","hydroxymethylglutaryl-CoA lyase, putative,3- hydroxy-3-methylglutarate-CoA lyase, putative"
"STIB805_Chr10","IGI",3672570,3676417,"+","TevSTIB805.10.15960","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",4044553,4047497,"-","TevSTIB805.11_01.16000","methionyl-tRNA formyltransferase"
"STIB805_Chr11_01","IGI",4307146,4309930,"-","TevSTIB805.11_01.17090","hypothetical protein, conserved"
"STIB805_Chr10","IGI",3359167,3361405,"-","TevSTIB805.10.14560","GPI-anchor transamidase subunit 8 (GPI8),cysteine peptidase, Clan CD, family C13"
"STIB805_Chr08","IGI",1751709,1754412,"+","TevSTIB805.8.6380","hypothetical protein, conserved"
"STIB805_Chr10","IGI",959491,961468,"-","TevSTIB805.10.3990","vacuolar ATP synthase subunit d, putative"
"STIB805_Chr07","IGI",1203913,1205754,"-","TevSTIB805.7.4900","60S ribosomal protein-like"
"STIB805_Chr10","IGI",2557282,2558719,"-","TevSTIB805.10.11120","histone H2B, putative"
"STIB805_Chr10","IGI",2356558,2362568,"+","TevSTIB805.10.10230","hypothetical protein, conserved"
"STIB805_Chr07","IGI",1654808,1659003,"-","TevSTIB805.7.6680","hypothetical protein"
"STIB805_Chr09","IGI",823701,827169,"+","TevSTIB805.9.3950","hypothetical protein, conserved"
"STIB805_Chr08","IGI",1341378,1343788,"-","TevSTIB805.8.4830","hypothetical protein, conserved"
"STIB805_Chr08","IGI",2370408,2375363,"+","TevSTIB805.8.8650","hypothetical protein, conserved"
"STIB805_Chr10","IGI",73267,76761,"+","TevSTIB805.10.360","hypothetical protein, conserved"
"STIB805_Chr09","IGI",535098,537154,"-","TevSTIB805.9.2070","hypothetical protein, conserved"
"STIB805_Chr02","IGI",1123511,1125091,"+","TevSTIB805.2.3530","unspecified product"
"STIB805_Chr06","IGI",1246138,1247977,"-","TevSTIB805.6.4630","hypothetical protein, conserved"
"STIB805_Chr07","IGI",302596,305267,"+","TevSTIB805.7.1190","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1374645,1381525,"+","TevSTIB805.3.5240","kinesin, putative"
"STIB805_Chr10","IGI",2485082,2488762,"+","TevSTIB805.10.10780","hypothetical protein, conserved"
"STIB805_Chr03","IGI",509648,511557,"-","TevSTIB805.3.2020","RNA-binding protein, putative"
"STIB805_Chr08","IGI",898639,901730,"+","TevSTIB805.8.3190","hypothetical protein, conserved"
"STIB805_Chr10","IGI",3312700,3313665,"-","TevSTIB805.10.14350","unspecified product"
"STIB805_Chr08","IGI",721814,723824,"+","TevSTIB805.8.2520","unspecified product"
"STIB805_Chr09","IGI",2655733,2660982,"-","TevSTIB805.9.12460","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"STIB805_Chr08","IGI",544466,545773,"-","TevSTIB805.8.1680","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",3493664,3496506,"-","TevSTIB805.11_01.13730","mitochondrial RNA binding protein 2"
"STIB805_Chr07","IGI",762806,770461,"+","TevSTIB805.7.3170","hypothetical protein, conserved"
"STIB805_Chr09","IGI",2718040,2721325,"+","TevSTIB805.9.12620","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), interrupted fragment"
"STIB805_Chr09","IGI",1258432,1259363,"-","TevSTIB805.9.6140","hypothetical protein, conserved"
"STIB805_Chr09","IGI",1121449,1124592,"-","TevSTIB805.9.5470","adenylosuccinate lyase, putative"
"STIB805_Chr10","IGI",1351068,1353610,"+","TevSTIB805.10.5780","RNA editing endoribonuclease,RNA-editing complex protein"
"STIB805_Chr08","IGI",1335054,1336058,"-","TevSTIB805.8.4800","hypothetical protein, conserved"
"STIB805_Chr04","IGI",795034,800190,"+","TevSTIB805.4.3140","ATP-dependent DEAH-box RNA helicase, putative"
"STIB805_Chr09","IGI",1261860,1266681,"-","TevSTIB805.9.6160","hypothetical protein, conserved"
"STIB805_Chr04","IGI",1411323,1414685,"-","TevSTIB805.4.5470","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"STIB805_Chr05","IGI",984565,987669,"-","TevSTIB805.5.3690","small ubiquitin-related modifier, putative"
"STIB805_Chr11_01","IGI",4171265,4176497,"-","TevSTIB805.11_01.16560","hypothetical protein, conserved"
"STIB805_Chr07","IGI",1830598,1835745,"-","TevSTIB805.7.7330","hypothetical protein"
"STIB805_Chr08","IGI",926303,930971,"+","TevSTIB805.8.3300","exonuclease, putative"
"STIB805_Chr07","IGI",963190,970516,"+","TevSTIB805.7.3910","hypothetical protein"
"STIB805_Chr08","IGI",1182455,1185268,"-","TevSTIB805.8.4230","flagellum-adhesion glycoprotein, putative"
"STIB805_Chr02","IGI",363187,378036,"-","TevSTIB805.2.1050","unspecified product"
"STIB805_Chr07","IGI",1169081,1171911,"-","TevSTIB805.7.4770","proteasome alpha 3 subunit, putative"
"STIB805_Chr06","IGI",218381,223303,"+","TevSTIB805.6.520","GPEET2 procyclin precursor,PARP A-alpha,procyclin A-alpha,procyclic form specific polypeptide A-alpha precursor"
"STIB805_Chr08","IGI",1710756,1713807,"+","TevSTIB805.8.6210","protein kinase, putative"
"STIB805_Chr10","IGI",317965,319761,"-","TevSTIB805.10.1350","hypothetical protein, conserved"
"STIB805_Chr01","IGI",1021768,1024895,"+","TevSTIB805.1.5110","expression site-associated gene 9 (ESAG9) protein, putative"
"STIB805_Chr11_01","IGI",2024383,2026228,"+","TevSTIB805.11_01.7570","DNA-direcetd RNA polymerase II, subunit 9, putative"
"STIB805_Chr10","IGI",3157536,3162415,"-","TevSTIB805.10.13710","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1379999,1385452,"+","TevSTIB805.3.5250","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1359702,1363802,"+","TevSTIB805.3.5180","tRNA isopentenyltransferase, putative"
"STIB805_Chr08","IGI",1959635,1960718,"-","TevSTIB805.8.7230","cyclophilin, putative"
"STIB805_Chr10","IGI",1682552,1685415,"+","TevSTIB805.10.7130","hypothetical protein, conserved"
"STIB805_Chr03","IGI",1150276,1153232,"-","TevSTIB805.3.4380","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",2628542,2631095,"+","TevSTIB805.11_01.10290","unspecified product"
"STIB805_Chr01","IGI",128578,130085,"-","TevSTIB805.1.300","hypothetical protein, unlikely"
"STIB805_Chr11_01","IGI",1330887,1332738,"+","TevSTIB805.11_01.4880","hypothetical protein, conserved"
"STIB805_Chr08","IGI",1186928,1188891,"-","TevSTIB805.8.4260","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",1244316,1246555,"-","TevSTIB805.11_01.4510","hypothetical protein, conserved"
"STIB805_Chr11_01","IGI",1435601,1439221,"+","TevSTIB805.11_01.5320","hypothetical protein, conserved"
"STIB805_Chr07","IGI",1795966,1802884,"-","TevSTIB805.7.7250","hypothetical protein, conserved"
"STIB805_Chr09","IGI",932030,934603,"+","TevSTIB805.9.4550","hypothetical protein, conserved"
"STIB805_Chr03","IGI",99468,106361,"+","TevSTIB805.3.440","variant surface glycoprotein (VSG), putative"
"STIB805_Chr10","IGI",2856226,2861821,"+","TevSTIB805.10.12350","hypothetical protein, conserved"
"STIB805_Chr03","IGI",46135,50871,"+","TevSTIB805.3.220","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"STIB805_Chr06","IGI",1452740,1456707,"-","TevSTIB805.6.5550","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"STIB805_Chr05","IGI",241359,243061,"+","TevSTIB805.5.830","hypothetical protein"
"STIB805_Chr09","IGI",720729,724796,"+","TevSTIB805.9.3280","heat shock protein, putative,HSP70-like protein"
