"seq_id","inicio","fin","strand","score"
"LdBPK_010400.1",25,52,"-",117
"LdBPK_010400.1",371,387,"+",70
"LdBPK_010400.1",2377,2412,"-",50
"LdBPK_010400.1",3449,3481,"-",59
"LdBPK_010400.1",3704,3731,"+",92
"LdBPK_010400.1",3855,3869,"+",73
"LdBPK_010630.1",33,60,"-",50
"LdBPK_010630.1",181,206,"+",132
"LdBPK_010630.1",1726,1767,"-",78
"LdBPK_010630.1",1920,1936,"-",70
"LdBPK_010630.1",1938,1980,"-",111
"LdBPK_010630.1",2217,2244,"+",53
"LdBPK_010630.1",2282,2307,"-",51
"LdBPK_010430.1",18,39,"+",63
"LdBPK_010430.1",480,503,"-",94
"LdBPK_010430.1",1599,1631,"+",68
"LdBPK_010430.1",1675,1697,"+",51
"LdBPK_010430.1",1816,1864,"+",49
"LdBPK_010040.1",1584,1613,"+",112
"LdBPK_010040.1",1797,1819,"+",107
"LdBPK_010040.1",1924,1955,"+",48
"LdBPK_010040.1",2337,2360,"+",69
"LdBPK_010040.1",2588,2617,"+",65
"LdBPK_010040.1",2973,3002,"-",235
"LdBPK_010040.1",3112,3133,"-",155
"LdBPK_010040.1",3283,3315,"+",120
"LdBPK_010040.1",3331,3375,"+",111
"LdBPK_010040.1",3468,3500,"+",48
"LdBPK_010040.1",3502,3532,"+",133
"LdBPK_010040.1",3584,3622,"+",50
"LdBPK_010040.1",3767,3804,"-",74
"LdBPK_010070.1",487,505,"+",95
"LdBPK_010070.1",771,788,"-",87
"LdBPK_010070.1",866,897,"+",111
"LdBPK_010070.1",1210,1238,"+",48
"LdBPK_010070.1",2856,2905,"+",55
"LdBPK_010070.1",3137,3155,"+",67
"LdBPK_010070.1",3221,3254,"+",91
"LdBPK_010560.1",102,131,"-",126
"LdBPK_010560.1",516,540,"-",50
"LdBPK_010560.1",585,615,"-",50
"LdBPK_010560.1",3465,3492,"-",83
"LdBPK_010560.1",3752,3769,"-",50
"LdBPK_010560.1",4191,4216,"+",88
"LdBPK_010560.1",4367,4402,"-",90
"LdBPK_010640.1",18,59,"-",78
"LdBPK_010640.1",212,228,"-",70
"LdBPK_010640.1",230,272,"-",111
