"seqid","type","start","end","strand","ID","description"
"LmjF.24","IGI",112568,121284,"+","LmjF.24.0370","aspartate aminotransferase, putative"
"LmjF.34","IGI",961073,974317,"-","LmjF.34.2180","hypothetical protein, conserved"
"LmjF.36","IGI",1180254,1184926,"-","LmjF.36.2890","ATP-binding cassette protein subfamily G, member 6, putative"
"LmjF.28","IGI",136780,143039,"-","LmjF.28.0420","hypothetical protein, conserved (pseudogene)"
"LmjF.16","IGI",352521,363574,"+","LmjF.16.0980","hypothetical protein, conserved"
"LmjF.22","IGI",280689,293125,"-","LmjF.22.0730","cytoskeleton associated protein, putative"
"LmjF.30","IGI",1232921,1235942,"+","LmjF.30.3260","Ankyrin repeats (3 copies), putative"
"LmjF.16","IGI",632910,637832,"-","LmjF.16.1490","hypothetical protein, conserved"
"LmjF.26","IGI",659474,659624,"+","LmjF.26.snoRNA0624","H/ACA-like snoRNA"
"LmjF.28","IGI",622865,628716,"-","LmjF.28.1650","Flagellum attachment zone protein 20"
"LmjF.14","IGI",504135,510491,"+","LmjF.14.1170","ras-like small GTPases, putative"
"LmjF.15","IGI",159841,159976,"+","LmjF.15.snoRNA0058","C/D snoRNA"
"LmjF.23","IGI",121897,126857,"+","LmjF.23.0350","hypothetical protein, conserved"
"LmjF.27","IGI",90633,98890,"+","LmjF.27.0350","RNA recognition motif (a.k.a. RRM, RBD, or RNP domain), putative"
"LmjF.08","IGI",94398,100540,"+","LmjF.08.0270","hypothetical protein"
"LmjF.36","IGI",1485068,1488617,"+","LmjF.36.3890","hypothetical protein, conserved"
"LmjF.35","IGI",498079,503860,"+","LmjF.35.1090","Nucleolar protein 111, putative"
"LmjF.22","IGI",626625,631041,"+","LmjF.22.1550","hypothetical protein, conserved"
"LmjF.13","IGI",344301,350293,"-","LmjF.13.1020","Cryptococcal mannosyltransferase 1, putative"
"LmjF.11","IGI",162953,165142,"+","LmjF.11.5SRRNA.02","5S(M5) ribosomal RNA"
"LmjF.24","IGI",279055,282453,"+","LmjF.24.0800","hypothetical protein, unknown function"
"LmjF.35","IGI",1498454,1502166,"-","LmjF.35.3710","hypothetical protein, conserved"
"LmjF.26","IGI",174655,178081,"-","LmjF.26.0640","10 kDa heat shock protein, putative"
