"seq_id","pqsNumber"
"LINF_010005700",10
"LINF_010011800",23
"LINF_010010400",16
"LINF_010007000",17
"LINF_010009400",11
"LINF_010012200",15
"LINF_010006700",8
"LINF_010012700",6
"LINF_010008900",6
"LINF_010012300",10
"LINF_010008300",0
"LINF_010006800",6
"LINF_010011700",13
"LINF_010011100",11
"LINF_010007200",12
"LINF_010007900",0
"LINF_010009600",19
"LINF_010009700",30
"LINF_010010500",8
"LINF_010012500",12
"LINF_010013400",69
"LINF_010008600",9
"LINF_010005300",12
"LINF_010008800",7
"LINF_010009300",9
"LINF_010005200",3
"LINF_010011500",12
"LINF_010007100",26
"LINF_010010600",10
"LINF_010006900",4
"LINF_010011300",10
"LINF_010005800",8
"LINF_010007500",4
"LINF_010006400",5
"LINF_010007300",9
"LINF_010005000",8
"LINF_010007600",5
"LINF_010006500",9
"LINF_010008000",0
"LINF_010008400",0
"LINF_010013300",25
"LINF_010005500",11
"LINF_010009200",5
"LINF_010005400",20
"LINF_010010900",10
"LINF_010013100",13
"LINF_010008700",9
"LINF_010006100",11
"LINF_010006200",14
"LINF_010011600",10
"LINF_010009500",18
"LINF_010012600",12
"LINF_010005900",3
"LINF_010013200",8
"LINF_010011200",6
"LINF_010012400",12
"LINF_010009900",17
"LINF_010006300",13
"LINF_010013000",21
"LINF_010008100",2
"LINF_010007800",5
"LINF_010012000",22
"LINF_010007700",11
"LINF_010008500",5
"LINF_010011900",28
"LINF_010011400",17
"LINF_010012800",13
"LINF_010005100",8
"LINF_010008200",1
"LINF_010010100",19
"LINF_010006600",15
"LINF_010006000",7
"LINF_010009800",24
"LINF_010012900",23
"LINF_010005600",7
"LINF_010010300",19
"LINF_010009100",8
"LINF_010010200",21
"LINF_010009000",8
"LINF_010010700",7
"LINF_010010800",5
"LINF_010012100",25
"LINF_010011000",10
"LINF_010007400",13
"LINF_010010000",17
"LINF_020007300",14
"LINF_020007200",16
"LINF_020007100",19
"LINF_020008700",12
"LINF_020007400",11
"LINF_020011300",10
"LINF_020007900",22
"LINF_020008100",21
"LINF_020007600",8
"LINF_020010100",5
"LINF_020007800",13
"LINF_020006900",29
"LINF_020011400",10
"LINF_020012500",9
"LINF_020006400",5
"LINF_020008600",14
"LINF_020010400",5
"LINF_020010000",8
"LINF_020010800",7
"LINF_020005700",7
"LINF_020011200",11
"LINF_020005500",4
"LINF_020005000",5
"LINF_020012300",9
"LINF_020010900",18
"LINF_020008300",8
"LINF_020011700",3
"LINF_020005300",13
"LINF_020008800",12
"LINF_020010300",6
"LINF_020006000",13
"LINF_020012000",5
"LINF_020012460",9
"LINF_020008900",11
"LINF_020011800",3
"LINF_020008200",7
"LINF_020009100",17
"LINF_020010700",8
"LINF_020009200",17
"LINF_020006700",43
"LINF_020010500",20
"LINF_020005600",5
"LINF_020007000",29
"LINF_020005100",8
"LINF_020007500",7
"LINF_020011100",96
"LINF_020011900",4
"LINF_020007700",11
"LINF_020006300",6
"LINF_020005800",7
"LINF_020011000",105
"LINF_020012430",6
"LINF_020009300",15
"LINF_020008400",14
"LINF_020012100",5
"LINF_020006100",13
"LINF_020012400",11
"LINF_020005200",5
"LINF_020009700",19
"LINF_020009900",20
"LINF_020006200",18
"LINF_020008000",33
"LINF_020011500",11
"LINF_020005400",13
"LINF_020012200",2
"LINF_020010600",30
"LINF_020005900",10
"LINF_020006800",21
"LINF_020009800",20
"LINF_020009400",13
"LINF_020011600",6
"LINF_020010200",3
"LINF_020008500",14
"LINF_020006500",36
"LINF_030011900",12
"LINF_030012400",8
"LINF_030012800",13
"LINF_030006400",7
"LINF_030005300",6
"LINF_030010900",7
"LINF_030011000",10
"LINF_030013200",13
"LINF_030010300",13
"LINF_030011300",20
"LINF_030006500",3
"LINF_030007100",14
"LINF_030009900",24
"LINF_030011200",10
"LINF_030010200",12
"LINF_030014700",0
"LINF_030010600",6
"LINF_030013400",10
"LINF_030014200",6
"LINF_030009700",21
"LINF_030013800",5
"LINF_030006700",6
"LINF_030005500",3
"LINF_030014500",6
"LINF_030012000",17
"LINF_030013600",16
"LINF_030009300",22
"LINF_030014600",5
"LINF_030005600",4
"LINF_030005800",10
"LINF_030005700",10
"LINF_030008650",24
"LINF_030007000",7
"LINF_030007400",8
"LINF_030011800",9
"LINF_030010100",14
"LINF_030010700",10
"LINF_030012300",14
"LINF_030013900",6
"LINF_030007300",4
"LINF_030006600",0
"LINF_030012500",10
"LINF_030008800",23
"LINF_030007600",5
"LINF_030012200",14
"LINF_030009800",22
"LINF_030006300",10
"LINF_030009600",17
"LINF_030011500",10
"LINF_030005900",10
"LINF_030012700",6
"LINF_030008500",25
"LINF_030010800",9
"LINF_030008400",40
"LINF_030007700",19
"LINF_030008100",11
"LINF_030007900",25
"LINF_030014900",4
"LINF_030010000",9
"LINF_030008600",29
"LINF_030008200",10
"LINF_030010500",9
"LINF_030011600",50
"LINF_030006800",10
"LINF_030006100",8
"LINF_030008300",25
"LINF_030007200",13
"LINF_030005100",2
"LINF_030005200",1
"LINF_030008700",18
"LINF_030008000",8
"LINF_030009500",15
"LINF_030013700",9
"LINF_030005000",5
"LINF_030014400",9
"LINF_030013000",12
"LINF_030009000",6
"LINF_030009400",15
"LINF_030012100",7
"LINF_030008900",17
"LINF_030007500",7
"LINF_030014300",8
"LINF_030006900",8
"LINF_030006000",6
"LINF_030012900",12
"LINF_030014100",12
"LINF_030010400",12
"LINF_030014800",0
"LINF_030013300",9
"LINF_030013100",15
"LINF_030006200",10
"LINF_030011400",20
"LINF_030013500",10
"LINF_030014000",14
"LINF_030009100",4
"LINF_030009200",20
"LINF_030011700",50
"LINF_030012600",11
"LINF_030005400",7
"LINF_040009100",21
"LINF_040007000",13
"LINF_040008800",60
"LINF_040009000",23
"LINF_040012700",6
"LINF_040005100",2
"LINF_040014000",22
"LINF_040015100",12
"LINF_040012400",16
"LINF_040009900",7
"LINF_040010200",15
"LINF_040011800",14
"LINF_040011300",5
"LINF_040008600",22
"LINF_040005800",5
"LINF_040008700",8
"LINF_040008900",70
"LINF_040006600",13
"LINF_040014500",11
"LINF_040007500",19
"LINF_040017400",2
"LINF_040005700",5
"LINF_040007900",18
"LINF_040007200",30
"LINF_040011200",9
"LINF_040006100",11
"LINF_040016100",10
"LINF_040015800",4
"LINF_040014800",8
"LINF_040012200",16
"LINF_040013200",9
"LINF_040016300",11
"LINF_040008100",9
"LINF_040015500",14
"LINF_040006800",20
"LINF_040015900",8
"LINF_040015000",6
"LINF_040011500",11
"LINF_040012300",27
"LINF_040005900",7
"LINF_040014200",12
"LINF_040012900",8
"LINF_040011100",7
"LINF_040016200",10
"LINF_040014400",16
"LINF_040009500",23
"LINF_040007300",30
"LINF_040017300",8
"LINF_040012500",9
"LINF_040010400",16
"LINF_040010900",7
"LINF_040005200",0
"LINF_040006900",18
"LINF_040013050",12
"LINF_040008400",5
"LINF_040013000",14
"LINF_040009600",15
"LINF_040013400",17
"LINF_040009200",18
"LINF_040005300",0
"LINF_040010600",5
"LINF_040016900",37
"LINF_040015200",10
"LINF_040011900",15
"LINF_040009300",25
"LINF_040012800",5
"LINF_040016500",3
"LINF_040016600",6
"LINF_040014900",13
"LINF_040010000",12
"LINF_040010700",11
"LINF_040017000",20
"LINF_040017100",5
"LINF_040010100",17
"LINF_040009650",14
"LINF_040005000",8
"LINF_040010500",5
"LINF_040014100",16
"LINF_040016400",5
"LINF_040010800",9
"LINF_040007100",16
"LINF_040009800",6
"LINF_040015700",6
"LINF_040012100",8
"LINF_040013100",8
"LINF_040014600",8
"LINF_040008000",8
"LINF_040007700",3
"LINF_040006200",10
"LINF_040008500",12
"LINF_040006300",8
"LINF_040013500",9
"LINF_040005600",4
"LINF_040011700",10
"LINF_040016700",8
"LINF_040013900",13
"LINF_040011000",12
