"seq_id","inicio","fin","strand","score"
"Tbg972.1.1800",343,371,"-",57
"Tbg972.1.1800",397,438,"-",55
"Tbg972.1.1800",2648,2686,"+",59
"Tbg972.1.1800",2710,2744,"+",64
"Tbg972.1.300",1984,2007,"-",66
"Tbg972.1.300",3089,3120,"-",51
"Tbg972.1.300",3179,3224,"-",48
"Tbg972.1.300",3366,3415,"-",70
"Tbg972.1.300",4189,4212,"-",60
"Tbg972.1.300",4646,4661,"+",55
"Tbg972.1.300",6238,6263,"-",84
"Tbg972.1.300",7512,7545,"+",51
"Tbg972.1.300",7575,7615,"+",57
"Tbg972.1.300",7759,7799,"+",50
"Tbg972.1.300",9557,9582,"+",57
"Tbg972.1.270",259,300,"-",70
"Tbg972.1.270",489,507,"-",51
"Tbg972.1.2450",48,80,"+",47
"Tbg972.1.2450",844,878,"+",50
"Tbg972.1.2450",1531,1544,"+",75
"Tbg972.1.3050",154,180,"+",56
"Tbg972.1.3050",531,555,"-",87
"Tbg972.1.3050",1038,1061,"-",48
"Tbg972.1.3050",2005,2045,"+",53
"Tbg972.1.1910",1860,1890,"-",51
"Tbg972.1.1910",2057,2106,"+",56
"Tbg972.1.1910",2461,2476,"+",55
"Tbg972.1.1910",2767,2792,"-",57
"Tbg972.1.2110",370,388,"+",52
"Tbg972.1.2110",654,696,"+",48
"Tbg972.1.2110",959,1005,"-",47
"Tbg972.1.2110",1030,1061,"-",50
"Tbg972.1.2110",1342,1355,"-",75
"Tbg972.1.2110",2477,2504,"-",52
"Tbg972.1.2110",2598,2641,"-",48
"Tbg972.1.1200",3892,3916,"-",59
"Tbg972.1.1200",4422,4439,"+",69
"Tbg972.1.1200",9487,9533,"-",48
"Tbg972.1.1260",65,78,"+",75
"Tbg972.1.1260",1267,1291,"-",48
"Tbg972.1.1260",2589,2606,"+",87
"Tbg972.1.1260",2821,2858,"+",74
"Tbg972.1.1150",1063,1101,"-",58
"Tbg972.1.3010",1071,1103,"+",49
"Tbg972.1.3010",2079,2098,"+",52
"Tbg972.1.3010",3379,3406,"+",58
"Tbg972.1.840",991,1024,"+",61
"Tbg972.1.2910",3564,3580,"+",70
"Tbg972.1.2000",388,405,"+",52
"Tbg972.1.1160",99,137,"-",58
"Tbg972.1.2860",343,386,"+",55
"Tbg972.1.2860",473,510,"+",102
"Tbg972.1.2860",1429,1470,"-",67
"Tbg972.1.2860",4259,4283,"+",59
"Tbg972.1.2860",5153,5174,"+",53
"Tbg972.1.2860",5393,5438,"-",48
"Tbg972.1.2860",5694,5725,"+",48
"Tbg972.1.2860",9407,9433,"+",56
"Tbg972.1.900",1398,1442,"+",52
"Tbg972.1.900",2715,2748,"+",52
"Tbg972.1.2400",3209,3245,"+",89
"Tbg972.1.2290",2184,2218,"+",62
"Tbg972.1.2290",2640,2653,"-",75
"Tbg972.1.2290",2733,2780,"-",48
"Tbg972.1.2290",2857,2880,"-",60
"Tbg972.1.2290",4163,4188,"+",47
"Tbg972.1.2290",5863,5884,"-",53
"Tbg972.1.2290",9299,9328,"+",92
"Tbg972.1.2290",13669,13686,"-",50
"Tbg972.1.2290",14630,14656,"+",64
"Tbg972.1.2290",20644,20686,"+",65
"Tbg972.1.2290",21607,21621,"+",73
"Tbg972.1.2940",555,585,"+",51
"Tbg972.1.2940",1455,1479,"+",113
"Tbg972.1.2940",1689,1721,"-",149
"Tbg972.1.1870",332,356,"-",48
"Tbg972.1.1870",1582,1613,"+",47
"Tbg972.1.1870",2094,2143,"-",171
"Tbg972.1.1870",2208,2241,"+",62
"Tbg972.1.1870",2392,2431,"+",53
"Tbg972.1.1870",2563,2605,"-",51
"Tbg972.1.1130",2732,2769,"+",58
"Tbg972.1.1130",6160,6191,"+",50
"Tbg972.1.1130",6200,6242,"+",67
"Tbg972.1.110",599,624,"-",57
"Tbg972.1.110",1000,1022,"+",61
"Tbg972.1.110",1321,1350,"-",52
"Tbg972.1.110",1454,1479,"+",88
"Tbg972.1.110",1602,1616,"-",73
"Tbg972.1.110",1887,1925,"-",80
"Tbg972.1.1450",768,801,"+",76
"Tbg972.1.1450",1280,1316,"-",58
"Tbg972.1.1450",2713,2746,"+",76
"Tbg972.1.1450",2872,2908,"-",58
"Tbg972.1.560",66,81,"+",53
"Tbg972.1.560",453,477,"+",150
"Tbg972.1.870",918,958,"+",74
"Tbg972.1.670",177,204,"+",90
"Tbg972.1.1240",36,61,"-",57
"Tbg972.1.1240",417,444,"+",55
"Tbg972.1.1240",813,832,"-",84
"Tbg972.1.1240",1135,1160,"+",57
"Tbg972.1.1240",3354,3387,"+",64
"Tbg972.1.1240",3424,3444,"+",64
"Tbg972.1.640",418,431,"+",75
"Tbg972.1.640",1932,1967,"+",55
"Tbg972.1.640",3095,3129,"+",75
"Tbg972.1.1120",68,92,"+",71
"Tbg972.1.1120",7946,7977,"+",50
"Tbg972.1.1120",13493,13530,"+",58
"Tbg972.1.720",2084,2108,"+",48
"Tbg972.1.720",3617,3641,"+",59
"Tbg972.1.720",3927,3957,"-",92
"Tbg972.1.720",7824,7845,"+",53
"Tbg972.1.720",7989,8006,"+",69
"Tbg972.1.650",408,442,"+",75
"Tbg972.1.650",3418,3445,"+",90
"Tbg972.1.920",5711,5747,"+",50
"Tbg972.1.920",6350,6376,"-",84
"Tbg972.1.1070",5094,5126,"-",49
"Tbg972.1.2780",1278,1320,"-",54
"Tbg972.1.2780",2286,2301,"+",53
"Tbg972.1.3020",2176,2196,"-",75
"Tbg972.1.3020",2638,2657,"+",54
"Tbg972.1.3020",3798,3825,"+",129
"Tbg972.1.3020",4202,4217,"+",53
"Tbg972.1.1420",1825,1858,"+",76
"Tbg972.1.1420",1984,2020,"-",58
"Tbg972.1.1250",54,87,"+",64
"Tbg972.1.1250",124,144,"+",64
"Tbg972.1.1250",4674,4687,"+",75
"Tbg972.1.1250",5876,5900,"-",48
"Tbg972.1.1250",7198,7215,"+",87
"Tbg972.1.1250",7430,7467,"+",74
"Tbg972.1.3260",4240,4262,"-",48
"Tbg972.1.2610",428,452,"+",59
"Tbg972.1.2610",510,542,"+",47
"Tbg972.1.2610",1795,1817,"+",79
"Tbg972.1.2610",2824,2863,"-",52
"Tbg972.1.2610",4850,4887,"+",58
"Tbg972.1.2610",4940,4965,"+",52
"Tbg972.1.2610",5201,5232,"+",65
"Tbg972.1.2610",6762,6805,"-",53
"Tbg972.1.1600",112,128,"-",53
"Tbg972.1.1600",302,326,"-",71
"Tbg972.1.1600",494,510,"+",70
"Tbg972.1.1600",3249,3269,"+",64
"Tbg972.1.490",2444,2472,"-",83
"Tbg972.1.490",2528,2549,"-",74
"Tbg972.1.250",2312,2356,"+",50
"Tbg972.1.250",3864,3883,"-",75
"Tbg972.1.2710",21,46,"+",92
"Tbg972.1.2710",843,866,"+",91
"Tbg972.1.2250",5419,5453,"+",62
"Tbg972.1.2250",5875,5888,"-",75
"Tbg972.1.2250",5968,6015,"-",48
"Tbg972.1.2250",6092,6115,"-",60
"Tbg972.1.2250",7398,7423,"+",47
"Tbg972.1.2360",377,398,"-",53
"Tbg972.1.2360",3813,3842,"+",92
"Tbg972.1.2360",8183,8200,"-",50
"Tbg972.1.2360",9144,9170,"+",64
"Tbg972.1.2360",15158,15200,"+",65
"Tbg972.1.2360",16121,16135,"+",73
"Tbg972.1.1080",1569,1618,"+",55
"Tbg972.1.1080",2838,2865,"-",52
"Tbg972.1.1080",5174,5199,"-",61
"Tbg972.1.2850",1313,1336,"+",87
"Tbg972.1.2850",2929,2972,"+",48
"Tbg972.1.2850",4434,4477,"+",55
"Tbg972.1.2850",4564,4601,"+",102
"Tbg972.1.2850",5520,5561,"-",67
"Tbg972.1.50",752,779,"+",70
"Tbg972.1.50",4467,4494,"+",70
"Tbg972.1.2070",15,53,"-",74
"Tbg972.1.2070",102,150,"+",58
"Tbg972.1.240",919,951,"+",49
"Tbg972.1.1140",381,412,"+",50
"Tbg972.1.1140",421,463,"+",67
"Tbg972.1.2470",124,158,"+",50
"Tbg972.1.2470",811,824,"+",75
