"seq_id","inicio","fin","strand","score"
"TevSTIB805.1.4300",89,113,"+",113
"TevSTIB805.1.4300",321,345,"-",132
"TevSTIB805.1.4300",2257,2297,"+",98
"TevSTIB805.1.4300",2353,2399,"+",70
"TevSTIB805.1.4300",2773,2809,"+",47
"TevSTIB805.1.5110",647,689,"+",49
"TevSTIB805.1.5090",276,314,"+",76
"TevSTIB805.1.1450",5435,5454,"-",93
"TevSTIB805.1.1450",5850,5864,"-",73
"TevSTIB805.1.1450",6613,6635,"-",52
"TevSTIB805.1.530",1871,1898,"+",70
"TevSTIB805.1.3660",1606,1623,"+",50
"TevSTIB805.1.3660",2498,2533,"-",47
"TevSTIB805.1.2230",316,350,"-",91
"TevSTIB805.1.2230",803,830,"+",49
"TevSTIB805.1.3990",707,750,"-",53
"TevSTIB805.1.4230",3323,3358,"-",56
"TevSTIB805.1.4800",409,455,"+",47
"TevSTIB805.1.4270",336,352,"+",70
"TevSTIB805.1.2920",332,354,"+",51
"TevSTIB805.1.3000",1155,1189,"+",60
"TevSTIB805.1.3000",1323,1340,"-",115
"TevSTIB805.1.1300",177,203,"+",91
"TevSTIB805.1.2600",186,199,"+",47
"TevSTIB805.1.3550",908,937,"+",92
"TevSTIB805.1.790",260,301,"-",70
"TevSTIB805.1.790",490,508,"-",51
"TevSTIB805.1.930",247,272,"+",57
"TevSTIB805.1.2680",7,55,"+",74
"TevSTIB805.1.2680",279,304,"-",61
"TevSTIB805.1.2680",1426,1463,"-",57
"TevSTIB805.1.2680",1992,2013,"+",53
"TevSTIB805.1.2680",2102,2133,"-",110
"TevSTIB805.1.2680",2995,3012,"+",52
"TevSTIB805.1.10",22,42,"-",64
"TevSTIB805.1.10",46,66,"-",64
"TevSTIB805.1.10",70,90,"-",64
"TevSTIB805.1.10",140,180,"-",111
"TevSTIB805.1.3560",772,798,"-",56
"TevSTIB805.1.4390",792,812,"-",75
"TevSTIB805.1.4390",1264,1283,"+",54
"TevSTIB805.1.4390",2558,2585,"+",129
"TevSTIB805.1.4390",2952,2967,"+",53
"TevSTIB805.1.4390",3283,3324,"+",65
"TevSTIB805.1.4390",4358,4384,"+",56
"TevSTIB805.1.2460",12,45,"+",76
"TevSTIB805.1.2180",442,469,"-",82
"TevSTIB805.1.1190",68,93,"+",74
"TevSTIB805.1.1030",1539,1574,"+",62
"TevSTIB805.1.970",438,459,"+",48
"TevSTIB805.1.970",900,926,"+",56
"TevSTIB805.1.970",2380,2411,"+",50
"TevSTIB805.1.2950",2399,2423,"-",48
"TevSTIB805.1.4220",171,197,"+",56
"TevSTIB805.1.2980",39,72,"+",62
"TevSTIB805.1.2980",223,262,"+",53
"TevSTIB805.1.1540",950,986,"+",48
"TevSTIB805.1.630",110,142,"-",49
"TevSTIB805.1.3920",232,274,"+",110
"TevSTIB805.1.3920",511,548,"-",87
"TevSTIB805.1.3920",1021,1069,"+",57
"TevSTIB805.1.940",852,878,"+",50
"TevSTIB805.1.940",899,917,"+",67
"TevSTIB805.1.450",5047,5082,"-",62
"TevSTIB805.1.450",5925,5952,"-",55
"TevSTIB805.1.450",6124,6146,"+",63
"TevSTIB805.1.2990",115,137,"-",62
"TevSTIB805.1.4010",98,120,"+",107
"TevSTIB805.1.4010",319,360,"+",81
"TevSTIB805.1.4010",692,707,"+",53
"TevSTIB805.1.4010",908,926,"+",50
"TevSTIB805.1.4210",1388,1414,"+",56
"TevSTIB805.1.2350",718,751,"+",76
"TevSTIB805.1.3200",138,172,"+",68
"TevSTIB805.1.3200",2298,2322,"+",48
"TevSTIB805.1.3200",2986,3034,"+",58
"TevSTIB805.1.4660",161,183,"-",48
"TevSTIB805.1.4660",753,799,"+",51
"TevSTIB805.1.4660",1893,1921,"+",51
"TevSTIB805.1.4180",37,84,"+",138
"TevSTIB805.1.4180",1851,1874,"+",87
"TevSTIB805.1.2120",24,43,"+",54
"TevSTIB805.1.2120",1258,1294,"+",65
"TevSTIB805.1.2120",1532,1562,"+",51
"TevSTIB805.1.3810",124,158,"+",50
"TevSTIB805.1.3810",805,818,"+",75
"TevSTIB805.1.2880",340,366,"+",71
"TevSTIB805.1.2880",1258,1286,"-",57
"TevSTIB805.1.1270",1826,1839,"+",75
"TevSTIB805.1.1550",2745,2775,"+",47
"TevSTIB805.1.1670",503,518,"+",55
"TevSTIB805.1.3710",609,640,"+",50
"TevSTIB805.1.3710",860,874,"+",73
"TevSTIB805.1.490",419,450,"-",81
"TevSTIB805.1.4190",571,614,"+",48
"TevSTIB805.1.4190",2047,2090,"+",55
"TevSTIB805.1.4190",2177,2214,"+",102
"TevSTIB805.1.4190",3124,3165,"-",67
"TevSTIB805.1.2080",3400,3413,"-",75
"TevSTIB805.1.980",615,646,"+",50
"TevSTIB805.1.1360",904,928,"+",48
"TevSTIB805.1.1360",2427,2451,"+",59
"TevSTIB805.1.3620",743,770,"-",55
"TevSTIB805.1.3620",942,964,"+",63
"TevSTIB805.1.3900",814,856,"+",49
"TevSTIB805.1.1010",1003,1034,"+",50
"TevSTIB805.1.1200",1476,1501,"+",68
"TevSTIB805.1.3910",370,412,"+",49
"TevSTIB805.1.3910",2423,2468,"-",48
"TevSTIB805.1.3910",4583,4625,"+",110
"TevSTIB805.1.4120",1281,1323,"-",54
"TevSTIB805.1.4120",2290,2305,"+",53
"TevSTIB805.1.2420",12,45,"+",76
"TevSTIB805.1.4580",2721,2738,"-",115
"TevSTIB805.1.4380",249,270,"+",63
"TevSTIB805.1.4380",2167,2187,"-",75
