"seq_id","inicio","fin","strand","score"
"TcCLB.509395.120",30,68,"+",87
"TcCLB.509395.120",186,214,"-",54
"TcCLB.509395.120",1167,1196,"+",91
"TcCLB.509395.120",1353,1397,"-",74
"TcCLB.509395.120",2366,2391,"+",74
"TcCLB.509395.120",4439,4468,"+",52
"TcCLB.509395.30",591,615,"-",72
"TcCLB.509395.30",693,712,"-",47
"TcCLB.509395.30",3240,3274,"+",50
"TcCLB.509395.30",3893,3913,"+",47
"TcCLB.509395.30",4507,4553,"-",60
"TcCLB.509395.30",4876,4894,"+",85
"TcCLB.509395.30",5512,5548,"+",87
"TcCLB.509395.70",2808,2856,"+",77
"TcCLB.505037.100",793,824,"+",68
"TcCLB.505037.100",1235,1257,"+",61
"TcCLB.505037.100",5513,5553,"+",55
"TcCLB.505037.100",6636,6679,"+",49
"TcCLB.505037.100",9170,9200,"+",51
"TcCLB.505037.100",9590,9636,"+",47
"TcCLB.505037.100",15306,15337,"+",48
"TcCLB.505037.100",15679,15711,"+",48
"TcCLB.505037.20",1281,1310,"+",52
"TcCLB.505037.60",138,151,"-",47
"TcCLB.505037.157",2287,2325,"+",53
"TcCLB.509395.40",134,180,"-",60
"TcCLB.509395.40",503,521,"+",85
"TcCLB.509395.40",1139,1175,"+",87
"TcCLB.509395.40",1240,1265,"+",51
"TcCLB.509395.40",4598,4628,"+",91
"TcCLB.509395.40",5924,5941,"+",87
"TcCLB.505037.50",520,542,"+",51
"TcCLB.505037.50",1441,1454,"-",47
"TcCLB.509395.100",388,405,"+",69
"TcCLB.509395.100",1173,1211,"+",87
"TcCLB.509395.100",1329,1357,"-",54
"TcCLB.509395.100",2310,2339,"+",91
"TcCLB.509395.20",500,527,"+",112
"TcCLB.509395.20",1307,1354,"+",49
"TcCLB.509395.20",2541,2560,"-",52
"TcCLB.509395.20",2937,2960,"+",60
"TcCLB.509395.20",8397,8427,"+",51
"TcCLB.509395.20",12983,13014,"+",50
"TcCLB.509395.20",13127,13163,"+",59
"TcCLB.509395.20",13967,13991,"-",72
"TcCLB.509395.20",14069,14088,"-",47
"TcCLB.505037.140",3298,3329,"+",48
"TcCLB.505037.140",3671,3703,"+",48
"TcCLB.505037.140",4995,5022,"+",55
"TcCLB.505037.140",5293,5321,"+",54
"TcCLB.505037.40",91,113,"+",49
"TcCLB.505037.40",355,385,"-",65
"TcCLB.509395.50",580,610,"+",91
"TcCLB.509395.50",1906,1923,"+",87
"TcCLB.509395.50",2100,2119,"+",66
"TcCLB.505037.30",1669,1691,"+",49
"TcCLB.505037.30",1933,1963,"-",65
"TcCLB.509395.10",4252,4279,"+",112
"TcCLB.509395.80",989,1017,"+",73
"TcCLB.505037.70",3330,3361,"+",50
"TcCLB.505037.70",4581,4612,"+",68
"TcCLB.505037.70",5023,5045,"+",61
"TcCLB.509395.90",624,670,"+",47
"TcCLB.509395.90",757,792,"+",71
"TcCLB.507601.50",2280,2317,"-",58
"TcCLB.507601.80",432,472,"-",54
"TcCLB.507601.80",1701,1730,"-",83
"TcCLB.504639.60",1268,1309,"+",55
"TcCLB.504639.60",4848,4895,"+",60
"TcCLB.509541.10",458,492,"-",63
"TcCLB.509541.10",555,585,"+",62
"TcCLB.509541.10",726,756,"-",51
"TcCLB.509541.10",4159,4184,"-",47
"TcCLB.509985.60",98,144,"-",47
"TcCLB.509985.60",701,734,"+",48
"TcCLB.509985.60",1270,1301,"-",50
"TcCLB.509539.30",1529,1552,"-",50
"TcCLB.509539.30",1587,1620,"-",73
"TcCLB.509539.30",1709,1729,"+",54
"TcCLB.504639.50",3550,3597,"+",60
"TcCLB.504639.50",4715,4745,"+",90
"TcCLB.507943.50",1325,1352,"-",51
"TcCLB.504639.19",158,196,"-",56
"TcCLB.504639.19",632,654,"+",61
"TcCLB.509985.40",700,731,"-",50
"TcCLB.509985.69",814,860,"-",47
"TcCLB.506123.10",349,373,"-",58
"TcCLB.507601.90",36,49,"+",47
"TcCLB.507601.90",500,537,"-",72
"TcCLB.507601.90",4686,4726,"-",54
"TcCLB.507601.140",3090,3130,"-",68
"TcCLB.507601.140",3733,3759,"+",47
"TcCLB.509541.4",842,867,"-",47
"TcCLB.507601.40",481,518,"-",58
"TcCLB.507601.40",1252,1270,"-",67
"TcCLB.507601.10",90,110,"-",52
"TcCLB.507601.10",428,459,"+",62
"TcCLB.507601.10",673,721,"-",60
"TcCLB.507601.10",1424,1465,"+",53
"TcCLB.507601.10",3671,3719,"+",60
"TcCLB.507601.10",3900,3918,"+",54
"TcCLB.506123.60",1715,1742,"-",72
"TcCLB.509985.10",4,37,"-",48
"TcCLB.507601.60",318,350,"-",65
"TcCLB.507601.60",1194,1223,"+",52
"TcCLB.507601.60",2032,2053,"-",62
"TcCLB.506123.30",240,275,"+",50
"TcCLB.506123.30",565,589,"+",59
"TcCLB.506123.30",679,710,"-",81
"TcCLB.506123.30",956,975,"-",95
"TcCLB.509541.19",2390,2424,"-",63
"TcCLB.509541.19",2487,2517,"+",62
"TcCLB.509541.19",2658,2688,"-",51
"TcCLB.507601.120",1392,1437,"-",86
"TcCLB.507601.130",457,483,"+",47
"TcCLB.509539.10",1121,1149,"+",54
"TcCLB.509539.10",1699,1731,"+",63
"TcCLB.509539.10",3897,3932,"+",76
"TcCLB.507943.60",172,204,"+",49
"TcCLB.506123.24",596,618,"-",51
"TcCLB.506123.24",1031,1055,"+",52
"TcCLB.506123.24",1277,1307,"-",49
"TcCLB.506123.24",1481,1506,"+",57
"TcCLB.507943.70",1893,1925,"+",49
"TcCLB.509985.20",1578,1612,"-",75
"TcCLB.509985.20",1773,1794,"-",48
"TcCLB.506123.40",463,495,"-",77
"TcCLB.506123.40",2679,2714,"+",50
"TcCLB.506123.40",3004,3028,"+",59
"TcCLB.506123.40",3118,3149,"-",81
"TcCLB.506123.40",3395,3414,"-",95
"TcCLB.507601.20",33,55,"-",48
"TcCLB.507601.20",123,162,"+",58
"TcCLB.507601.20",264,312,"-",47
"TcCLB.507601.20",657,677,"-",52
"TcCLB.507601.20",995,1026,"+",62
"TcCLB.507601.20",1240,1288,"-",60
"TcCLB.509987.10",2637,2666,"-",52
"TcCLB.509987.10",2744,2773,"+",51
"TcCLB.509539.20",126,149,"-",50
"TcCLB.509539.20",184,217,"-",73
"TcCLB.509539.20",306,326,"+",54
"TcCLB.509539.20",5581,5628,"+",74
"TcCLB.509539.20",6856,6884,"+",54
"TcCLB.509539.20",7434,7466,"+",63
"TcCLB.509985.50",1074,1089,"-",55
"TcCLB.506123.20",3,25,"-",51
"TcCLB.506123.20",438,462,"+",52
"TcCLB.506123.20",684,714,"-",49
"TcCLB.506123.20",888,913,"+",57
"TcCLB.506123.20",1233,1251,"-",49
"TcCLB.506123.20",1663,1706,"-",68
"TcCLB.506123.20",2110,2134,"-",58
"TcCLB.506123.70",761,809,"+",60
"TcCLB.506123.70",990,1008,"+",54
"TcCLB.506123.70",1410,1455,"+",61
"TcCLB.507601.30",99,117,"-",67
"TcCLB.507601.30",1367,1389,"-",48
"TcCLB.507601.30",1457,1496,"+",58
"TcCLB.506123.50",830,849,"-",95
"TcCLB.506123.50",1328,1360,"-",77
"TcCLB.507601.110",19,64,"-",86
"TcCLB.507601.110",1377,1394,"-",69
"TcCLB.507601.110",2847,2860,"+",47
"TcCLB.507601.110",3311,3348,"-",72
"TcCLB.507601.70",343,372,"-",83
"TcCLB.507601.70",2156,2188,"-",65
"TcCLB.504639.40",986,1024,"-",56
"TcCLB.504639.40",1460,1482,"+",61
"TcCLB.506315.50",1346,1378,"-",63
"TcCLB.506315.50",2348,2394,"-",61
"TcCLB.506319.50",182,195,"+",75
"TcCLB.506319.50",556,594,"+",99
"TcCLB.506319.50",740,753,"+",75
"TcCLB.506319.50",999,1022,"-",72
"TcCLB.506319.50",1127,1161,"+",59
"TcCLB.506319.50",1369,1388,"+",66
"TcCLB.506319.50",1473,1496,"+",59
"TcCLB.506319.50",1605,1630,"-",93
"TcCLB.506319.50",1667,1689,"-",79
"TcCLB.506319.50",2512,2547,"+",56
"TcCLB.506319.50",2676,2702,"+",147
"TcCLB.506319.50",3352,3383,"+",98
"TcCLB.506319.50",3467,3495,"+",49
"TcCLB.506319.50",5378,5420,"+",93
"TcCLB.510825.10",673,696,"+",49
"TcCLB.510819.30",269,299,"+",67
"TcCLB.506315.10",1919,1934,"-",53
"TcCLB.506315.10",1950,1967,"-",52
"TcCLB.506317.30",1409,1424,"+",53
"TcCLB.503459.10",1228,1250,"-",135
"TcCLB.510819.60",270,293,"+",135
"TcCLB.510819.60",1020,1039,"-",47
"TcCLB.510819.60",1238,1278,"-",50
"TcCLB.510823.50",170,196,"+",84
"TcCLB.510823.50",1137,1167,"+",51
"TcCLB.510819.110",1591,1626,"-",71
"TcCLB.506317.20",137,158,"+",64
"TcCLB.506317.20",283,303,"-",54
"TcCLB.506317.20",634,662,"+",54
"TcCLB.506317.20",1177,1212,"+",103
"TcCLB.506317.20",1313,1332,"+",54
"TcCLB.506317.20",1492,1524,"+",60
"TcCLB.506317.20",3638,3678,"-",68
"TcCLB.508533.30",17,51,"+",58
"TcCLB.508533.30",2205,2235,"+",68
"TcCLB.510819.119",3553,3568,"-",53
"TcCLB.510819.119",3584,3601,"-",52
