"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prueba2-Ldonovani.gff","Prueba2-Linfantum.gff","Prueba2-LmajorFriedlin.gff","Prueba2-Tbruceigambiense.gff","Prueba2-TcruziCLBrenerEsmeraldo-like.gff","Prueba2-TcruziCLBrenerNon-Esmeraldo-like.gff","Prueba2-Tevansis.gff"
"group_778","","","7","7","1","1","2248","","","","1487","1490","1487","LdBPK_282610.1","LINF_280031400","LmjF.28.2430","Tbg972.11.13110","TcCLB.506025.50","TcCLB.511209.10","TevSTIB805.11_01.12060"
"group_308","","","6","6","1","1","4747","1","5357","","590","749","671","LdBPK_010060.1","LINF_010005500","LmjF.01.0060","Tbg972.9.1880","TcCLB.506895.30","","TevSTIB805.9.2710"
"group_321","","","6","6","1","1","4295","1","3429","","323","353","345","LdBPK_080480.1","LINF_080009800","LmjF.08.0470","Tbg972.5.4470","","TcCLB.511661.50","TevSTIB805.5.3690"
"group_355","","","6","6","1","1","5541","1","2289","","823","854","842","LdBPK_190140.1","LINF_190006300","","Tbg972.10.17940","TcCLB.506211.210","TcCLB.511289.14","TevSTIB805.10.15530"
"group_1148","","","5","5","1","1","6478","1","3976","","1190","1196","1192","LdBPK_030520.1","LINF_030010200","LmjF.03.0540","","TcCLB.510311.70","TcCLB.510265.20",""
"group_1637","","","5","5","1","1","721","1","353","","650","659","653","LdBPK_101250.1","LINF_100018900","LmjF.10.1160","","TcCLB.503689.4","TcCLB.509571.79",""
"group_1688","","","5","5","1","1","1655","1","1359","","1445","1460","1454","LdBPK_111050.1","LINF_110016500","LmjF.11.1050","","TcCLB.510101.70","TcCLB.506297.240",""
"group_1977","","","5","5","1","3","205","3","316","","380","380","380","LdBPK_151530.1","LINF_150022800","LmjF.15.1470","","TcCLB.508277.120","TcCLB.509943.30",""
"group_2567","","","5","5","1","10","209","10","173","","341","344","342","LdBPK_230870.1","LINF_230014700","LmjF.23.0700","","TcCLB.510507.29","TcCLB.509463.20",""
"group_359","","","5","5","1","3","92","3","108","","395","1553","1174","LdBPK_211820.1","LINF_210024300","LmjF.21.1552","","TcCLB.511139.40","TcCLB.508319.40",""
"group_404","","","5","5","1","1","3614","1","5948","","422","737","622","LdBPK_241860.1","LINF_240023900","LmjF.24.1790","","TcCLB.506797.120","TcCLB.511907.100",""
"group_410","","","5","5","1","15","99","15","137","","458","716","614","","","LmjF.02.0390","Tbg.972.2.1030","TcCLB.503515.14","TcCLB.508741.280","TevSTIB805.2.1380"
"group_4247","","","5","5","1","1","4896","1","5391","","677","680","678","LdBPK_353720.1","LINF_350042100","LmjF.35.3670","","TcCLB.507009.50","TcCLB.510667.110",""
"group_5051","","","5","5","1","13","122","13","91","","1445","1454","1450","LdBPK_050980.1","LINF_050015200","LmjF.05.0980","","TcCLB.507869.10","TcCLB.508399.10",""
"group_506","","","5","5","1","1","530","1","508","","341","359","350","LdBPK_070390.1","LINF_070007500","LmjF.07.0230","","TcCLB.511393.79","TcCLB.505071.119",""
"group_608","","","5","5","1","1","4213","1","3285","","2548","5528","4801","LdBPK_160590.1","LINF_160011200","LmjF.16.0590","Tbg972.5.5270","","TcCLB.511647.4",""
"group_619","","","5","5","1","1","401","1","6527","","122","536","451","LdBPK_170330.1","LINF_170009100","LmjF.17.0280","","TcCLB.506513.200","TcCLB.511323.40",""
"group_639","","","5","5","1","1","5581","1","2298","","1133","1229","1190","LdBPK_180220.1","LINF_180007200","LmjF.18.0220","Tbg972.10.16850","","","TevSTIB805.10.14420"
"group_722","","","5","5","1","4","214","4","166","","650","842","689","LdBPK_251460.1","LINF_250020400","LmjF.25.1420","","TcCLB.509455.80","TcCLB.503539.30",""
"group_751","","","5","5","1","1","3896","1","5605","","1322","1340","1329","LdBPK_270930.1","LINF_270017000","LmjF.27.1060","","TcCLB.509831.10","TcCLB.506629.70",""
"group_771","","","5","5","1","1","2126","1","6174","","605","758","666","LdBPK_281260.1","LINF_280017300","LmjF.28.1160","Tbg972.11.8670","","","TevSTIB805.11_01.7880"
"group_845","","","5","5","1","1","2543","1","4425","","401","455","413","LdBPK_322830.1","LINF_320033900","LmjF.32.2690","","TcCLB.511545.20","TcCLB.506817.30",""
"group_909","","","5","5","1","1","6077","1","5123","","398","401","399","LdBPK_352040.1","LINF_350025500","LmjF.35.2050","Tbg972.9.9570","","","TevSTIB805.9.10880"
"group_1197","","","4","4","1","1","4595","1","3615","","1334","1346","1342","LdBPK_040280.1","LINF_040008000","LmjF.04.0290","","","TcCLB.506627.20",""
"group_1700","","","4","4","1","14","170","14","113","","1211","1235","1229","LdBPK_120190.1","LINF_120007200","LmjF.12.0210","","","TcCLB.509429.270",""
"group_2124","","","4","4","1","1","264","1","6433","","929","953","941","LdBPK_171370.1","LINF_170020000","","","TcCLB.511303.70","TcCLB.509177.50",""
"group_2301","","","4","4","1","9","130","9","220","","434","434","434","LdBPK_200600.1","LINF_200010700","","Tbg972.1.550","","","TevSTIB805.1.1150"
"group_2417","","","4","4","1","3","458","3","158","","1613","1655","1644","LdBPK_211330.1","LINF_210018500","LmjF.21.1090","","","TcCLB.509695.200",""
"group_2527","","","4","4","1","1","1172","1","6637","","335","338","335","LdBPK_221280.1","LINF_220020400","LmjF.22.1430","Tbg972.7.3750","","",""
"group_2586","","","4","4","1","10","103","10","212","","734","1655","1424","LdBPK_231460.1","LINF_230021100","LmjF.23.1220","","TcCLB.510517.10","",""
"group_2785","","","4","4","1","4","171","4","175","","953","1022","970","LdBPK_251360.1","LINF_250019400","LmjF.25.1320","","","TcCLB.511881.20",""
"group_3060","","","4","4","1","1","3722","1","5668","","1358","1361","1359","LdBPK_271610.1","LINF_270024100","","Tbg972.11.2550","","","TevSTIB805.11_01.2350"
"group_3208","","","4","4","1","1","172","16","40","","173","173","173","LdBPK_282650.1","LINF_280031800","LmjF.28.2460","","TcCLB.506025.14","",""
"group_391","","","4","4","1","1","3055","1","2741","","839","1022","951","LdBPK_330280.1","LINF_330007800","","Tbg972.10.13100","","","TevSTIB805.10.11420"
"group_403","","","4","4","1","1","4347","1","3471","","4628","5990","5164","","LINF_080010400","LmjF.08.0530","","TcCLB.503955.100","TcCLB.511661.120",""
"group_4035","","","4","4","1","2","326","2","269","","545","545","545","LdBPK_342160.1","LINF_340029300","LmjF.34.2390","","","TcCLB.506559.380",""
"group_4083","","","4","4","1","2","190","2","545","","1379","1379","1379","LdBPK_343280.1","LINF_340041900","","Tbg972.4.1100","","","TevSTIB805.4.1310"
"group_4128","","","4","4","1","1","6202","1","4710","","1217","1220","1217","LdBPK_350370.1","LINF_350008800","LmjF.35.0370","","","TcCLB.506959.30",""
"group_463","","","4","4","1","1","6436","1","3935","","494","761","609","LdBPK_030090.1","LINF_030005800","LmjF.03.0100","","TcCLB.504867.70","",""
"group_496","","","4","4","1","13","81","13","49","","251","311","296","LdBPK_051000.1","LINF_050015400","LmjF.05.1000","","","TcCLB.508397.64",""
"group_500","","","4","4","1","1","1521","1","6154","","2411","3830","3475","LdBPK_060480.1","LINF_060010100","LmjF.06.0460","","","TcCLB.508175.260",""
"group_502","","","4","4","1","1","1469","1","6142","","437","680","534","LdBPK_060590.1","LINF_060011400","","","TcCLB.509151.140","TcCLB.508175.146",""
"group_505","","","4","4","1","1","851","1","493","","776","908","809","LdBPK_070210.1","LINF_070005600","","Tbg972.8.1520","","","TevSTIB805.8.1820"
"group_5056","","","4","4","1","1","2070","1","1174","","1115","1133","1127","LdBPK_280580.1","LINF_280010500","LmjF.28.0550","","TcCLB.503801.30","",""
"group_5065","","","4","4","1","1","6099","1","5100","","1109","1121","1115","LdBPK_352010.1","LINF_350025200","LmjF.35.2020","","","TcCLB.506241.160",""
"group_5066","","","4","4","1","1","5168","1","2491","","1214","1232","1226","LdBPK_364570.1","LINF_360052900","LmjF.36.4360","","TcCLB.504147.200","",""
"group_5088","","","4","4","1","1","6303","1","4689","","446","446","446","","","","Tbg972.5.1360","TcCLB.511179.160","TcCLB.508303.4","TevSTIB805.5.1130"
"group_5111","","","4","4","1","1","1284","1","6528","","785","821","803","","","","Tbg972.7.7330","TcCLB.506513.190","TcCLB.511323.50","TevSTIB805.7.6930"
"group_520","","","4","4","1","1","3969","1","3466","","688","1280","1063","LdBPK_080290.1","LINF_080007800","LmjF.08.0280","","TcCLB.509777.4","",""
"group_857","","","4","4","1","1","3211","1","3023","","998","1862","1481","LdBPK_332230.1","LINF_330030000","LmjF.33.2110","","TcCLB.503887.70","",""
