"seqid","type","start","end","strand","ID","description"
"LinJ.11","IGI",552191,557220,"+","LINF_110019200","Nodulin-like - putative"
"LinJ.30","IGI",304751,310254,"+","LINF_300014900","Domain of unknown function (DUF4139) - putative"
"LinJ.32","IGI",809898,812817,"-","LINF_320027000","eRF1 methyltransferase catalytic subunit - putative"
"LinJ.35","IGI",1653547,1661900,"+","LINF_350048600","hypothetical protein - conserved"
"LinJ.19","IGI",45090,50077,"-","LINF_190006700","Multiprotein-bridging factor 1 - putative"
"LinJ.35","IGI",973257,976147,"+","LINF_350030400","Ring finger domain/IQ calmodulin-binding motif containing protein - putative"
"LinJ.26","IGI",906398,911955,"+","LINF_260029100","SLY1 protein - putative"
"LinJ.28","IGI",287858,290843,"+","LINF_280013200","putative dual-specificity protein phosphatase - putative"
"LinJ.19","IGI",458911,462046,"+","LINF_190016300","hypothetical protein - conserved"
"LinJ.30","IGI",164755,170539,"-","LINF_300010200","hypothetical protein - conserved"
"LinJ.10","IGI",82126,85049,"+","LINF_100007000","MORN repeat - putative"
"LinJ.06","IGI",452654,456632,"+","LINF_060016500","deoxyribose-phosphate aldolase - putative"
"LinJ.16","IGI",601658,613557,"-","LINF_160020900","hypothetical protein - conserved"
"LinJ.36","IGI",2342805,2346299,"-","LINF_360069800","bilobe protein - conserved"
"LinJ.36","IGI",1243575,1248889,"-","LINF_360037700","hypothetical protein - conserved"
"LinJ.34","IGI",677376,681462,"-","LINF_340021300","d-isomer specific 2-hydroxyacid dehydrogenase- protein"
"LinJ.07","IGI",478948,488788,"+","LINF_070015500","Protein of unknown function (DUF3608) - putative"
"LinJ.05","IGI",20088,23369,"+","LINF_050005600","dynein light chain - putative"
"LinJ.30","IGI",279220,286370,"+","LINF_300014400","adenosine kinase - putative"
"LinJ.05","IGI",288389,295624,"+","LINF_050012900","hypothetical protein - conserved"
"LinJ.11","IGI",4683,6812,"+","LINF_110005200","Bacterial transferase hexapeptide (six repeats) - putative"
"LinJ.06","IGI",275684,285627,"+","LINF_060012800","hypothetical protein - conserved"
"LinJ.33","IGI",1131637,1136510,"+","LINF_330035900","hypothetical protein - conserved"
"LinJ.18","IGI",39174,45816,"-","LINF_180006400","Domain of unknown function DUF21 - putative"
"LinJ.04","IGI",133880,141014,"-","LINF_040009100","hypothetical protein - conserved"
"LinJ.08","IGI",485175,489344,"+","LINF_080016900","MIX protein"
"LinJ.19","IGI",465977,470494,"+","LINF_190016500","mitochondrial carrier protein - putative"
"LinJ.23","IGI",675821,686563,"+","LINF_230023100","DNA polymerase theta (helicase domain only) - putative"
"LinJ.19","IGI",491305,497146,"+","LINF_190016800","hypothetical protein - conserved"
"LinJ.34","IGI",437695,445858,"+","LINF_340015700","Amastin surface glycoprotein - putative"
"LinJ.09","IGI",23806,48038,"+","LINF_090006000","RNA-binding protein 5-like protein"
"LinJ.02","IGI",112946,119607,"-","LINF_020007300","phosphoglycan beta 1 -3 galactosyltransferase"
"LinJ.36","IGI",1746002,1752627,"+","LINF_360053200","gamma-tubulin complex subunit - putative"
"LinJ.28","IGI",1129681,1133796,"-","LINF_280036700","hypothetical protein - conserved"
"LinJ.10","IGI",237947,242240,"+","LINF_100010800","GP63 - leishmanolysin"
"LinJ.35","IGI",1108414,1112408,"-","LINF_350034300","hypothetical protein - conserved"
"LinJ.27","IGI",769367,780479,"+","LINF_270023900","mRNA export factor MEX67"
"LinJ.21","IGI",263307,269009,"+","LINF_210013900","methionyl-tRNA synthetase"
"LinJ.20","IGI",696881,699855,"-","LINF_200021400","SNAP protein - putative"
"LinJ.33","IGI",1439954,1443860,"+","LINF_330040600","Flagellar Member 8"
"LinJ.32","IGI",893726,898981,"-","LINF_320029200","hypothetical protein - conserved"
"LinJ.02","IGI",106990,114420,"-","LINF_020007200","phosphoglycan beta 1 -2 arabinosyltransferase"
"LinJ.09","IGI",69912,72557,"+","LINF_090007000","Autophagy protein Atg8 ubiquitin like -  putative"
"LinJ.33","IGI",949179,952027,"+","LINF_330031100","hypothetical protein - conserved"
"LinJ.11","IGI",322081,328016,"+","LINF_110014100","Alpha/beta hydrolase family - putative"
"LinJ.32","IGI",1427305,1432716,"+","LINF_320043700","3-hydroxyisobutyryl-coenzyme a hydrolase-like protein"
"LinJ.11","IGI",462468,469050,"+","LINF_110017700","eukaryotic release factor 3 - putative"
"LinJ.36","IGI",2233455,2235511,"-","LINF_360067000","phosphoprotein lepp12"
"LinJ.02","IGI",101962,110602,"-","LINF_020007100","phosphoglycan beta 1 -3 galactosyltransferase"
"LinJ.35","IGI",1699828,1703967,"+","LINF_350049800","Snf7 - putative"
"LinJ.34","IGI",107204,111877,"+","LINF_340008100","WD domain - G-beta repeat - putative"
"LinJ.09","IGI",377333,381505,"-","LINF_090016050","elongation factor-1 gamma"
"LinJ.36","IGI",383157,392673,"+","LINF_360015400","hypothetical protein - conserved"
"LinJ.34","IGI",607771,610821,"-","LINF_340019900","hypothetical protein - conserved"
"LinJ.36","IGI",620353,627998,"-","LINF_360022300","proteasome subunit alpha type-1 - putative"
"LinJ.22","IGI",293797,297997,"-","LINF_220012100","prefoldin 5-like protein"
"LinJ.05","IGI",363151,365480,"+","LINF_050014900","anticodon:acgacg|aaArg"
"LinJ.17","IGI",576286,580218,"+","LINF_170019000","hypothetical protein - conserved"
"LinJ.26","IGI",87631,92587,"-","LINF_260008500","Vps52 / Sac2 family - putative"
"LinJ.30","IGI",589930,592527,"+","LINF_300022200","hypothetical protein - conserved"
"LinJ.17","IGI",391535,394207,"-","LINF_170014800","guanosine monophosphate reductase"
"LinJ.09","IGI",567272,573703,"-","LINF_090022800","hypothetical protein -  conserved"
"LinJ.12","IGI",371914,375027,"+","LINF_120012350","Protein of unknown function (DUF962), putative"
"LinJ.34","IGI",981849,985672,"-","LINF_340028400","hypothetical protein - conserved"
"LinJ.24","IGI",34123,37637,"+","LINF_240006500","ATPase domain protein - putative"
"LinJ.23","IGI",268229,274576,"-","LINF_230013500","hypothetical protein - conserved"
"LinJ.28","IGI",104214,120360,"+","LINF_280008300","hypothetical protein - conserved"
"LinJ.36","IGI",1022552,1028065,"+","LINF_360032000","hypothetical protein - conserved"
"LinJ.23","IGI",420695,426402,"-","LINF_230016750","hypothetical protein - conserved"
"LinJ.32","IGI",1033477,1042537,"-","LINF_320033400","SpoU rRNA Methylase family - putative"
"LinJ.33","IGI",677462,682025,"+","LINF_330023400","PRA1 family protein - putative"
"LinJ.36","IGI",481639,484762,"+","LINF_360018800","hypothetical protein - conserved"
"LinJ.31","IGI",51525,54913,"-","LINF_310007100","WD repeat protein"
"LinJ.20","IGI",373305,391828,"+","LINF_200014500","LmxM.20.0960"
"LinJ.34","IGI",404683,409765,"+","LINF_340015000","hypothetical protein - conserved"
"LinJ.19","IGI",242179,260264,"+","LINF_190010800","protein kinase - putative"
"LinJ.36","IGI",2735369,2736448,"-","LINF_360082100","U1A small nuclear ribonucleoprotein - putative"
"LinJ.11","IGI",267560,271129,"+","LINF_110012600","Ankyrin repeats (3 copies)/Ankyrin repeat/Ankyrin repeats (many copies) - putative"
"LinJ.16","IGI",460390,466754,"-","LINF_160017900","hypothetical protein - conserved"
"LinJ.34","IGI",1760661,1764286,"+","LINF_340049200","hypothetical protein - conserved"
"LinJ.31","IGI",1240241,1252149,"-","LINF_310032400","hypothetical protein - conserved"
"LinJ.09","IGI",502740,506812,"-","LINF_090020100","mitochondrial carrier protein -  putative"
"LinJ.18","IGI",122333,129151,"-","LINF_180007800","hypothetical protein - conserved"
"LinJ.05","IGI",327238,330013,"+","LINF_050014000","hypothetical protein - conserved"
"LinJ.35","IGI",1365985,1377165,"-","LINF_350041100","Fusaric acid resistance protein-like - putative"
"LinJ.24","IGI",293331,304060,"+","LINF_240013300","inositol polyphosphate phosphatase - putative"
"LinJ.29","IGI",915984,925768,"-","LINF_290027400","hypothetical protein - conserved"
"LinJ.32","IGI",522292,528587,"+","LINF_320019200","LicD family - putative"
"LinJ.20","IGI",659900,664140,"-","LINF_200020400","hypothetical protein - conserved"
"LinJ.36","IGI",1497944,1504400,"+","LINF_360047200","Zinc finger - C3HC4 type (RING finger) containing protein - putative"
"LinJ.13","IGI",264486,268434,"-","LINF_130012900","hypothetical protein - conserved"
"LinJ.06","IGI",59432,63490,"-","LINF_060006900","kinesin-like protein"
"LinJ.30","IGI",714448,716018,"+","LINF_300025100","hypothetical protein"
"LinJ.21","IGI",312085,315771,"+","LINF_210014900","hypoxanthine-guanine phosphoribosyltransferase"
"LinJ.32","IGI",770575,777283,"-","LINF_320025700","ribosome biogenesis protein TSR3 - putative"
"LinJ.23","IGI",396296,400299,"-","LINF_230016000","SET domain containing protein - putative"
"LinJ.36","IGI",2547131,2550640,"-","LINF_360075500","Domain of unknown function (DUF4496) - putative"
"LinJ.30","IGI",569135,572068,"+","LINF_300021500","Protein of unknown function (DUF1077) - putative"
"LinJ.10","IGI",25095,29533,"+","LINF_100005400","Dos2-interacting transcription regulator of RNA-Pol-II - putative"
"LinJ.15","IGI",422020,425849,"-","LINF_150017100","hypothetical protein - conserved"
"LinJ.09","IGI",272179,276223,"-","LINF_090013200","hypothetical protein -  conserved"
"LinJ.34","IGI",551368,556263,"-","LINF_340018400","hypothetical protein - conserved"
"LinJ.16","IGI",396312,401680,"+","LINF_160016000","Protein of unknown function (DUF3184) - putative"
"LinJ.32","IGI",1051991,1057237,"-","LINF_320033800","hypothetical protein - conserved"
"LinJ.31","IGI",1014796,1019603,"-","LINF_310027800","hypothetical protein"
"LinJ.03","IGI",261770,269996,"-","LINF_030011900","DEAD/DEAH box helicase/Type III restriction enzyme - res subunit - putative"
"LinJ.15","IGI",76919,80351,"-","LINF_150007000","hypothetical protein - conserved"
"LinJ.29","IGI",267283,271167,"-","LINF_290012400","Peroxisomal targeting signal 2 receptor"
"LinJ.14","IGI",532390,536932,"+","LINF_140017900","hypothetical protein - conserved"
"LinJ.25","IGI",336957,343788,"+","LINF_250015000","Histone RNA hairpin-binding protein RNA-binding domain containing protein - putative"
"LinJ.34","IGI",1023673,1031340,"-","LINF_340029700","DNAj-like protein"
"LinJ.16","IGI",633077,639868,"+","LINF_160021600","WD domain - G-beta repeat - putative"
"LinJ.29","IGI",470445,475223,"+","LINF_290017800","Etoposide-induced protein 2.4 (EI24) - putative"
"LinJ.29","IGI",822808,825301,"-","LINF_290023900","histone H2A - putative"
"LinJ.23","IGI",86943,94265,"+","LINF_230007800","pentamidine resistance protein 1"
"LinJ.29","IGI",1176758,1182000,"+","LINF_290033700","hypothetical protein - conserved"
"LinJ.30","IGI",149678,153621,"-","LINF_300009700","aspartyl-tRNA synthetase - putative"
"LinJ.36","IGI",192386,195597,"+","LINF_360012000","ribonuclease H - putative"
"LinJ.02","IGI",173956,178187,"-","LINF_020008700","proteasome regulatory non-ATPase subunit 6 - putative"
"LinJ.35","IGI",1693305,1695450,"+","LINF_350049500","Zinc-binding domain containing protein - putative"
"LinJ.29","IGI",867799,872832,"-","LINF_290025500","Vesicle coat protein involved in Golgi to plasma membrane transport - putative"
"LinJ.17","IGI",425097,430955,"+","LINF_170015900","hypothetical protein - conserved"
"LinJ.23","IGI",608689,611965,"+","LINF_230021800","hypothetical protein - conserved"
"LinJ.28","IGI",337776,344884,"+","LINF_280014800","hypothetical protein - conserved"
"LinJ.33","IGI",827011,835790,"+","LINF_330028700","hypothetical protein - conserved"
"LinJ.04","IGI",58417,62564,"+","LINF_040007000","surface antigen-like protein"
"LinJ.15","IGI",368509,371538,"-","LINF_150015600","hypothetical protein"
"LinJ.36","IGI",334951,340908,"+","LINF_360014600","eukaryotic translation initiation factor 6 (eIF-6) - putative"
"LinJ.33","IGI",1394141,1409107,"+","LINF_330039900","hypothetical protein - conserved"
"LinJ.31","IGI",1520285,1523000,"+","LINF_310040900","histone H4"
"LinJ.23","IGI",184971,187498,"+","LINF_230010300","hypothetical protein - conserved"
"LinJ.27","IGI",1024341,1027251,"-","LINF_270029600","hypothetical protein"
"LinJ.35","IGI",1821806,1827777,"+","LINF_350054100","proteasome alpha 1 subunit - putative"
